BS_m1_0h	BS_m2_0h	BS_m3_0h	BS_m4_6h_flag	BS_m5_6h_flag	BS_m6_6h_flag	BS_m7_6h_aCD3	BS_m8_6h_aCD3	BS_m9_6h_aCD3	BS_m10_24h_flag	BS_m11_24h_flag	BS_m12_24h_flag	BS_m13_24h_aCD3	BS_m14_24h_aCD3	BS_m15_24h_aCD3
ID=fig|671267.8.peg.24;Name=hypothetical protein	17	13	7	10	19	4	18	8	10	24	35	22	16	12	9
ID=fig|671267.8.peg.25;Name=SAM-dependent methyltransferase	13	21	26	22	41	12	40	0	12	36	62	45	30	19	21
ID=fig|671267.8.peg.26;Name=hypothetical protein	12	6	5	9	8	0	2	4	2	4	27	21	9	4	3
ID=fig|671267.8.repeat.1;Name=repeat region	2	0	0	0	0	0	0	0	0	3	5	2	2	0	0
ID=fig|671267.8.peg.27;Name=Transposase	5	15	7	2	8	5	3	0	1	7	33	33	1	5	4
ID=fig|671267.8.repeat.2;Name=repeat region	0	1	1	2	0	1	0	0	0	3	2	0	4	2	0
ID=fig|671267.8.peg.28;Name=Capsular polysaccharide transcription antitermination protein%2C UpxY family	0	2	4	2	8	4	4	0	2	2	4	2	0	2	2
ID=fig|671267.8.peg.29;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.30;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
ID=fig|671267.8.peg.31;Name=hypothetical protein	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.32;Name=hypothetical protein	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.33;Name=Putative dehydrogenase	6	0	0	0	2	2	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.34;Name=hypothetical protein	0	2	0	0	0	0	2	0	0	0	2	0	0	0	0
ID=fig|671267.8.peg.35;Name=hypothetical protein	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0
ID=fig|671267.8.peg.36;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0
ID=fig|671267.8.repeat.3;Name=repeat region	2	10	1	2	3	6	4	0	0	7	0	0	0	0	2
ID=fig|671267.8.peg.37;Name=Putative transposase	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0
ID=fig|671267.8.repeat.4;Name=repeat region	121	261	200	136	132	109	107	38	93	244	261	162	143	128	83
ID=fig|671267.8.peg.38;Name=Integrase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.39;Name=putative protein involved in transposition	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.40;Name=excisionase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.41;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.42;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.43;Name=Mobilization protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.44;Name=Class A beta-lactamase (EC 3.5.2.6) > CfxA family%2C broad-spectrum;Ontology_term=KEGG_ENZYME:3.5.2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.45;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.46;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.repeat.5;Name=repeat region	95	22	9	19	7	5	13	5	14	30	55	24	19	31	6
ID=fig|671267.8.peg.47;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.48;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.49;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.50;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.51;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.52;Name=Abi-like protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.53;Name=hypothetical protein	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.54;Name=hypothetical protein	0	0	0	4	2	0	0	0	0	0	0	2	0	0	0
ID=fig|671267.8.peg.55;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.56;Name=glycosyltransferase	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.57;Name=putative polysaccharide polymerase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.58;Name=FIG00520327: hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.59;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0
ID=fig|671267.8.peg.60;Name=N-acetylmuramoyl-L-alanine amidase	2	2	2	4	0	2	0	2	2	0	1	0	2	4	0
ID=fig|671267.8.peg.61;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ID=fig|671267.8.peg.62;Name=hypothetical protein	0	1	0	0	0	2	0	4	0	2	2	0	2	2	0
ID=fig|671267.8.peg.63;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.64;Name=hypothetical protein	0	2	0	0	0	2	0	0	0	0	4	0	0	0	2
ID=fig|671267.8.peg.65;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.66;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.67;Name=putative glycosyltransferase	0	0	0	6	0	4	0	0	2	0	0	0	0	2	0
ID=fig|671267.8.peg.68;Name=hypothetical protein	56	206	185	96	166	129	108	94	126	210	246	198	114	116	80
ID=fig|671267.8.peg.69;Name=Poly(glycerol-phosphate) alpha-glucosyltransferase (EC 2.4.1.52);Ontology_term=KEGG_ENZYME:2.4.1.52	0	0	0	0	0	1	0	0	0	0	0	2	0	0	2
ID=fig|671267.8.peg.70;Name=UDP-glucose 4-epimerase (EC 5.1.3.2);Ontology_term=KEGG_ENZYME:5.1.3.2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.71;Name=hypothetical protein	0	4	0	0	0	6	0	0	0	0	2	0	2	0	0
ID=fig|671267.8.peg.72;Name=Nucleotidyltransferase domain protein%2C BT0168 group	37	33	39	28	43	21	35	4	30	92	109	74	56	44	20
ID=fig|671267.8.peg.73;Name=Protein of unknown function DUF86%2C BT0167 group	21	7	3	7	1	5	9	0	2	32	33	16	12	12	10
ID=fig|671267.8.peg.74;Name=Putative helicase	0	6	6	1	2	0	4	0	0	2	6	2	2	4	0
ID=fig|671267.8.peg.75;Name=ATPase RavA	20	22	6	8	36	14	30	4	16	30	33	12	4	14	4
ID=fig|671267.8.peg.76;Name=hypothetical protein	50	26	32	19	32	10	12	4	2	24	27	22	24	26	14
ID=fig|671267.8.peg.77;Name=Phosphate/pyrophosphate-specific outer membrane porin OprP/OprO	2	0	2	2	0	4	4	0	0	2	0	0	0	0	0
ID=fig|671267.8.peg.78;Name=2-aminoethylphosphonate:pyruvate aminotransferase (EC 2.6.1.37);Ontology_term=KEGG_ENZYME:2.6.1.37	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0
ID=fig|671267.8.peg.79;Name=Phosphonoacetaldehyde hydrolase (EC 3.11.1.1);Ontology_term=KEGG_ENZYME:3.11.1.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.80;Name=hypothetical protein	4	2	2	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.81;Name=hypothetical protein	3	0	0	0	4	0	1	0	0	2	2	0	0	0	2
ID=fig|671267.8.peg.82;Name=hypothetical protein	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.83;Name=Two-component transcriptional response regulator%2C LuxR family	2	0	6	0	0	0	4	0	2	8	8	4	4	0	0
ID=fig|671267.8.peg.84;Name=Two-component system sensor histidine kinase	0	0	8	4	4	2	2	0	0	4	6	2	10	4	4
ID=fig|671267.8.peg.85;Name=Efflux transport system%2C outer membrane factor (OMF) lipoprotein BT_1267	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.86;Name=AcrB/D/F family transporter	0	2	0	0	0	2	0	4	0	0	0	0	0	0	0
ID=fig|671267.8.peg.87;Name=Membrane-fusion protein	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.88;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.89;Name=Transglycosylase-associated protein	4	4	9	23	13	14	21	10	24	2	35	16	5	0	6
ID=fig|671267.8.peg.90;Name=GMP synthase [glutamine-hydrolyzing]%2C amidotransferase subunit (EC 6.3.5.2) / GMP synthase [glutamine-hydrolyzing]%2C ATP pyrophosphatase subunit (EC 6.3.5.2);Ontology_term=KEGG_ENZYME:6.3.5.2,KEGG_ENZYME:6.3.5.2	122	195	162	108	342	157	173	54	56	221	285	108	143	100	62
ID=fig|671267.8.peg.91;Name=GMP synthase [glutamine-hydrolyzing]%2C amidotransferase subunit (EC 6.3.5.2) / GMP synthase [glutamine-hydrolyzing]%2C ATP pyrophosphatase subunit (EC 6.3.5.2);Ontology_term=KEGG_ENZYME:6.3.5.2,KEGG_ENZYME:6.3.5.2	102	168	100	77	263	136	124	44	42	207	225	168	122	90	64
ID=fig|671267.8.peg.92;Name=Large-conductance mechanosensitive channel	52	74	42	32	46	31	28	11	16	92	75	26	38	19	22
ID=fig|671267.8.peg.93;Name=NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12);Ontology_term=KEGG_ENZYME:1.2.1.12	798	818	591	636	1648	412	842	106	164	1702	3162	1152	1146	340	290
ID=fig|671267.8.peg.94;Name=tRNA dimethylallyltransferase (EC 2.5.1.75);Ontology_term=KEGG_ENZYME:2.5.1.75	42	38	26	26	76	26	52	4	2	77	60	57	49	24	20
ID=fig|671267.8.peg.95;Name=Transcription regulator [contains diacylglycerol kinase catalytic domain]	15	34	14	14	30	14	13	4	5	28	59	29	19	8	6
ID=fig|671267.8.peg.96;Name=2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55);Ontology_term=KEGG_ENZYME:2.5.1.55	131	143	118	58	114	66	101	20	27	144	157	95	56	78	62
ID=fig|671267.8.peg.97;Name=hypothetical protein	6	4	1	7	0	0	10	2	6	0	10	3	6	2	1
ID=fig|671267.8.peg.98;Name=Transcriptional regulator%2C Crp/Fnr family	34	32	16	23	38	12	38	0	8	58	90	28	34	16	20
ID=fig|671267.8.peg.99;Name=Glutamine synthetase type III%2C GlnN (EC 6.3.1.2);Ontology_term=KEGG_ENZYME:6.3.1.2	34	30	50	28	116	44	70	12	6	120	176	64	68	26	30
ID=fig|671267.8.peg.100;Name=hypothetical protein	46	45	38	38	56	16	46	8	6	72	104	96	24	34	18
ID=fig|671267.8.peg.101;Name=hypothetical protein	4	4	12	10	4	6	8	4	2	14	16	4	2	12	0
ID=fig|671267.8.peg.102;Name=putative chitobiase	0	2	0	0	4	0	2	0	2	0	0	6	0	0	0
ID=fig|671267.8.peg.103;Name=Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	0	2	4	0	4	2	6	2	0	0	2	6	0	0	0
ID=fig|671267.8.peg.104;Name=Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	0	4	4	2	6	2	6	6	4	6	16	14	0	0	0
ID=fig|671267.8.peg.105;Name=Putative anti-sigma factor	0	0	0	0	2	0	2	0	0	0	4	0	0	0	0
ID=fig|671267.8.peg.106;Name=RNA polymerase ECF-type sigma factor	11	8	4	0	4	2	5	0	6	12	31	12	1	2	0
ID=fig|671267.8.peg.107;Name=Efflux transport system%2C outer membrane factor (OMF) lipoprotein BT_0954	17	12	22	27	38	26	41	14	30	16	46	22	13	26	2
ID=fig|671267.8.peg.108;Name=hypothetical protein	8	10	12	29	40	28	50	10	6	6	14	4	4	5	4
ID=fig|671267.8.peg.109;Name=Efflux ABC transporter%2C permease protein	2	0	2	16	18	22	38	16	12	6	14	0	6	7	2
ID=fig|671267.8.peg.110;Name=Efflux ABC transporter%2C permease protein	0	0	2	8	8	2	12	0	0	0	2	2	2	0	2
ID=fig|671267.8.repeat.6;Name=repeat region	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.111;Name=hypothetical protein	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0
ID=fig|671267.8.peg.112;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.repeat.7;Name=repeat region	2	2	4	10	32	2	11	0	2	10	7	0	0	0	0
ID=fig|671267.8.repeat.8;Name=repeat region	132	26	8	37	71	9	31	1	1	45	70	20	19	17	0
ID=fig|671267.8.peg.113;Name=Pantothenate kinase type II%2C eukaryotic (EC 2.7.1.33);Ontology_term=KEGG_ENZYME:2.7.1.33	6	6	6	10	16	2	12	2	8	8	6	6	4	0	0
ID=fig|671267.8.peg.114;Name=PAP2 superfamily protein	2	6	4	4	10	4	2	2	8	13	12	12	10	0	2
ID=fig|671267.8.peg.115;Name=hypothetical protein	1513	2345	1649	2453	3936	2017	3078	1589	3126	1561	2798	1562	704	1434	433
ID=fig|671267.8.peg.116;Name=Fluoride ion transporter CrcB	8	10	14	13	26	16	31	5	6	22	19	13	8	10	0
ID=fig|671267.8.peg.117;Name=Amidophosphoribosyltransferase (EC 2.4.2.14);Ontology_term=KEGG_ENZYME:2.4.2.14	44	29	12	44	116	26	65	2	12	46	64	41	32	20	12
ID=fig|671267.8.peg.118;Name=Tripeptide aminopeptidase (EC 3.4.11.4);Ontology_term=KEGG_ENZYME:3.4.11.4	70	188	116	129	157	107	145	24	48	192	217	260	79	112	56
ID=fig|671267.8.peg.119;Name=Aminomethyltransferase (glycine cleavage system T protein) (EC 2.1.2.10);Ontology_term=KEGG_ENZYME:2.1.2.10	306	554	404	180	295	303	199	56	96	672	501	612	346	298	236
ID=fig|671267.8.peg.120;Name=POTASSIUM/PROTON ANTIPORTER ROSB	4	19	16	19	16	16	24	0	4	44	52	25	14	6	16
ID=fig|671267.8.peg.121;Name=HIT family protein	20	36	18	10	20	10	12	0	6	62	100	63	34	15	6
ID=fig|671267.8.peg.122;Name=Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)	8	7	4	6	22	14	22	4	0	14	27	16	6	3	2
ID=fig|671267.8.peg.123;Name=Peptidyl-tRNA hydrolase (EC 3.1.1.29);Ontology_term=KEGG_ENZYME:3.1.1.29	15	5	7	12	58	10	20	2	0	19	38	17	10	17	0
ID=fig|671267.8.peg.124;Name=LSU ribosomal protein L25p	189	133	91	118	416	60	240	14	12	248	325	150	144	71	38
ID=fig|671267.8.peg.125;Name=hypothetical protein	29	24	11	6	33	6	16	0	6	58	92	37	22	8	11
ID=fig|671267.8.peg.126;Name=Transcription termination protein NusB	58	45	40	38	107	26	69	10	6	93	143	56	52	17	15
ID=fig|671267.8.peg.127;Name=Protein translocase subunit YajC	324	75	22	20	30	10	35	0	8	72	193	66	50	55	21
ID=fig|671267.8.peg.128;Name=hypothetical protein	42	36	20	34	100	20	46	9	8	106	133	82	36	22	14
ID=fig|671267.8.peg.129;Name=Dephospho-CoA kinase (EC 2.7.1.24);Ontology_term=KEGG_ENZYME:2.7.1.24	13	4	10	4	26	2	6	3	0	31	17	14	10	2	4
ID=fig|671267.8.peg.130;Name=hypothetical protein	157	26	22	28	58	10	36	8	0	84	122	56	62	30	20
ID=fig|671267.8.peg.131;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.132;Name=Capsular polysaccharide transcription antitermination protein UpgY	0	0	0	4	4	0	6	0	0	1	0	6	2	7	0
ID=fig|671267.8.peg.133;Name=Hypothetical protein clustered with UpdY	0	0	0	2	4	0	0	0	0	0	2	0	1	4	1
ID=fig|671267.8.peg.134;Name=hypothetical protein	0	2	0	2	2	0	4	0	2	0	2	2	3	3	1
ID=fig|671267.8.peg.135;Name=putative flippase	2	2	1	0	2	2	6	0	4	2	2	4	4	2	0
ID=fig|671267.8.peg.136;Name=putative O-acetyltransferase Cps9vM	2	0	1	0	0	0	0	0	0	0	4	0	2	0	0
ID=fig|671267.8.peg.137;Name=chloramphenicol acetyltransferase( EC:2.3.1.28 );Ontology_term=KEGG_ENZYME:2.3.1.28	2	2	0	0	4	2	6	0	0	0	2	0	0	0	0
ID=fig|671267.8.peg.138;Name=hypothetical protein	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0
ID=fig|671267.8.peg.139;Name=hypothetical protein	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ID=fig|671267.8.peg.140;Name=Glycosyltransferase involved in cell wall biogenesis	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ID=fig|671267.8.peg.141;Name=hypothetical protein	0	2	0	0	2	0	0	0	0	2	2	0	0	0	0
ID=fig|671267.8.peg.142;Name=Glycosyl transferase%2C family 2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.143;Name=Glycosyl transferase%2C family 2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ID=fig|671267.8.peg.144;Name=hypothetical protein	73	10	7	10	4	0	12	2	0	17	21	15	11	21	12
ID=fig|671267.8.peg.145;Name=hypothetical protein	23	0	1	0	2	2	2	2	0	5	7	9	13	3	0
ID=fig|671267.8.peg.146;Name=Capsular polysaccharide biosynthesis protein	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0
ID=fig|671267.8.peg.147;Name=hypothetical protein	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0
ID=fig|671267.8.peg.148;Name=hypothetical protein	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0
ID=fig|671267.8.peg.149;Name=ClpB protein	146	496	176	1089	1114	508	3053	328	726	356	470	122	229	432	124
ID=fig|671267.8.peg.150;Name=hypothetical protein	21	12	26	13	36	20	20	2	14	45	67	50	16	17	6
ID=fig|671267.8.peg.151;Name=Transcriptional regulator YeiE%2C LysR family	16	28	36	27	38	30	38	8	14	60	72	58	16	31	24
ID=fig|671267.8.peg.152;Name=Putative membrane protein YeiH	8	10	10	18	168	10	22	2	2	17	53	20	8	10	2
ID=fig|671267.8.peg.153;Name=integrase	4	2	6	8	49	0	4	0	4	10	10	4	5	4	0
ID=fig|671267.8.peg.154;Name=hypothetical protein	22	89	65	36	92	60	71	26	13	87	124	80	58	60	28
ID=fig|671267.8.peg.155;Name=FIG00417077: hypothetical protein	55	73	60	38	57	33	51	10	11	90	136	70	73	72	32
ID=fig|671267.8.peg.156;Name=hypothetical protein	16	20	26	12	32	13	24	2	8	51	63	33	13	14	14
ID=fig|671267.8.peg.157;Name=hypothetical protein	18	11	18	13	30	14	10	4	2	34	49	18	12	22	4
ID=fig|671267.8.peg.158;Name=Twin-arginine translocation protein TatA	0	1	0	4	0	0	4	0	0	1	20	2	8	0	0
ID=fig|671267.8.peg.159;Name=Twin-arginine translocation protein TatC	50	45	56	17	36	16	46	0	18	54	101	46	27	38	12
ID=fig|671267.8.peg.160;Name=hypothetical protein	7	13	2	13	22	6	2	4	0	19	24	5	11	6	2
ID=fig|671267.8.peg.161;Name=hypothetical protein	29	29	26	21	34	14	38	0	4	44	38	25	12	16	6
ID=fig|671267.8.peg.162;Name=Transcription antitermination protein UpdY	2	0	2	2	8	0	0	0	0	0	10	0	0	4	2
ID=fig|671267.8.peg.163;Name=Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.33);Ontology_term=KEGG_ENZYME:2.7.8.33	0	0	2	2	2	0	4	0	2	0	0	0	0	1	0
ID=fig|671267.8.peg.164;Name=hypothetical protein	2	0	0	0	0	0	2	0	0	0	2	0	2	0	0
ID=fig|671267.8.peg.165;Name=hypothetical protein	2	0	2	0	4	0	0	0	2	0	0	2	0	0	0
ID=fig|671267.8.peg.166;Name=hypothetical protein	2	4	4	0	10	0	2	0	2	6	20	6	0	14	2
ID=fig|671267.8.peg.167;Name=Polysaccharide export outer membrane protein	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ID=fig|671267.8.peg.168;Name=Tyrosine-protein kinase (EC 2.7.10.2);Ontology_term=KEGG_ENZYME:2.7.10.2	0	0	2	0	0	0	2	0	2	0	2	2	0	2	0
ID=fig|671267.8.peg.169;Name=hypothetical protein	0	0	0	0	2	0	2	0	0	0	6	4	0	0	0
ID=fig|671267.8.peg.170;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.171;Name=hypothetical protein	0	2	0	0	0	2	0	2	0	2	2	2	2	0	0
ID=fig|671267.8.peg.172;Name=hypothetical protein	0	4	0	3	2	2	2	2	5	2	0	0	0	2	3
ID=fig|671267.8.repeat.9;Name=repeat region	9	5	13	6	0	4	3	1	1	2	8	1	4	3	2
ID=fig|671267.8.peg.173;Name=DNA primase/helicase	6	17	18	12	20	4	14	7	4	6	11	18	8	7	4
ID=fig|671267.8.peg.174;Name=hypothetical protein	0	0	2	0	2	2	0	0	0	0	0	0	2	1	0
ID=fig|671267.8.repeat.10;Name=repeat region	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.175;Name=hypothetical protein	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0
ID=fig|671267.8.peg.176;Name=hypothetical protein	8	33	30	12	52	20	26	4	10	59	72	70	30	20	16
ID=fig|671267.8.peg.177;Name=hypothetical protein	14	1	0	0	2	2	2	0	0	4	6	6	0	2	2
ID=fig|671267.8.peg.178;Name=hypothetical protein	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0
ID=fig|671267.8.peg.179;Name=CDP-4-dehydro-6-deoxy-D-glucose 3-dehydratase (EC 4.2.1.-);Ontology_term=KEGG_ENZYME:4.2.1.-	5	12	14	14	28	14	32	2	10	14	16	4	4	6	6
ID=fig|671267.8.peg.180;Name=Glucose-1-phosphate cytidylyltransferase (EC 2.7.7.33);Ontology_term=KEGG_ENZYME:2.7.7.33	5	2	4	4	12	0	10	0	0	4	2	2	0	4	0
ID=fig|671267.8.peg.181;Name=hypothetical protein	166	48	47	12	68	26	29	12	10	66	128	63	29	80	18
ID=fig|671267.8.peg.182;Name=hypothetical protein	58	23	15	6	33	12	15	6	2	44	65	30	20	29	14
ID=fig|671267.8.peg.183;Name=CDP-glucose 4%2C6-dehydratase (EC 4.2.1.45);Ontology_term=KEGG_ENZYME:4.2.1.45	5	0	2	0	6	0	2	0	2	2	0	0	0	2	0
ID=fig|671267.8.peg.184;Name=dTDP-4-dehydrorhamnose 3%2C5-epimerase (EC 5.1.3.13);Ontology_term=KEGG_ENZYME:5.1.3.13	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2
ID=fig|671267.8.peg.185;Name=NAD-dependent epimerase/dehydratase	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
ID=fig|671267.8.peg.186;Name=dTDP-glucose 4%2C6-dehydratase (EC 4.2.1.46);Ontology_term=KEGG_ENZYME:4.2.1.46	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0
