Gene	CB_m1_0h	CB_m2_0h	CB_m3_0h	CB_m4_6h_flag	CB_m5_6h_flag	CB_m6_6h_flag	CB_m7_6h_aCD3	CB_m8_6h_aCD3	CB_m9_6h_aCD3	CB_m10_24h_flag	CB_m11_24h_flag	CB_m12_24h_flag	CB_m13_24h_aCD3	CB_m14_24h_aCD3	CB_m15_24h_aCD3
11	ID=fig|208479.6.peg.36;Name=Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	7.14165218460714	1.4134525492325	0	0	3.37802741517233	2.46510171176854	0	0	2.53046922654331	0.608719281139847	3.67739519097831	1.12086961463346	0	1.7684601273558	8.21289596778082
12	ID=fig|208479.6.peg.37;Name=Dipeptide transport system permease protein DppC (TC 3.A.1.5.2)	0	4.94708392231374	3.91024649361065	0	0	2.46510171176854	1.44489395234022	0	2.53046922654331	4.26103496797893	1.83869759548915	3.36260884390038	1.25111558962516	4.4211503183895	0
13	ID=fig|208479.6.peg.38;Name=Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)	3.57082609230357	2.12017882384875	7.82049298722131	0	5.0670411227585	2.46510171176854	4.33468185702066	3.37464142553119	2.53046922654331	9.73950849823755	9.19348797744577	5.60434807316729	3.75334676887548	5.3053803820674	2.73763198926027
14	ID=fig|208479.6.peg.39;Name=Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)	7.14165218460714	1.4134525492325	3.91024649361065	6.31549922955934	0	0	1.44489395234022	0	7.59140767962992	15.826701309636	7.35479038195662	16.8130442195019	1.25111558962516	2.6526901910337	5.47526397852054
15	ID=fig|208479.6.peg.40;Name=Dipeptide-binding ABC transporter%2C periplasmic substrate-binding component (TC 3.A.1.5.2)	3.57082609230357	5.65381019692999	9.77561623402664	0	0	2.46510171176854	0	0	2.53046922654331	17.0441398719157	14.7095807639132	16.8130442195019	10.0089247170013	17.684601273558	0
16	ID=fig|208479.6.peg.41;Name=N-ethylammeline chlorohydrolase	0	4.24035764769749	1.95512324680533	0	1.68901370758617	0	1.44489395234022	3.37464142553119	0	1.21743856227969	5.51609278646746	6.72521768780075	1.25111558962516	1.7684601273558	2.73763198926027
17	ID=fig|208479.6.peg.42;Name=hypothetical protein	7.14165218460714	2.826905098465	1.95512324680533	3.15774961477967	0	2.46510171176854	4.33468185702066	6.74928285106238	7.59140767962992	13.3918241850766	7.35479038195662	13.4504353756015	2.50223117925032	5.3053803820674	0
18	ID=fig|208479.6.peg.44;Name=Acyl-acyl carrier protein thioesterase	10.7124782769107	5.65381019692999	12.7083011042346	3.15774961477967	16.8901370758617	4.93020342353707	4.33468185702066	3.37464142553119	11.3871115194449	18.2615784341954	12.8708831684241	21.2965226780357	10.0089247170013	10.6107607641348	2.73763198926027
19	ID=fig|208479.6.peg.45;Name=Uncharacterized S1 RNA binding domain protein YitL	17.8541304615178	18.3748831400225	7.82049298722131	6.31549922955934	9.28957539172392	12.3255085588427	11.5591516187218	6.74928285106238	6.32617306635827	15.826701309636	8.27413917970119	13.4504353756015	13.7622714858767	10.6107607641348	19.1634239248219
20	ID=fig|208479.6.peg.46;Name=hypothetical protein BH3604	10.7124782769107	40.9901239277424	54.7434509105492	34.7352457625764	36.3137947131026	43.1392799559494	28.8978790468044	20.2478485531872	26.5699268787047	44.4365075232088	37.6933007075277	42.0326105487547	46.9168346109435	37.1376626744718	35.5892158603835
21	ID=fig|208479.6.peg.47;Name=Maltodextrin ABC transporter%2C ATP-binding protein MsmX	380.29297883033	542.059052630663	455.543716505641	464.189193372611	522.749742497919	462.206570956601	361.223488085055	543.317269510522	518.746191441378	485.149267068458	560.802766624192	366.524363985141	884.538721864987	454.49425273044	525.625341937972
22	ID=fig|208479.6.peg.48;Name=Sugar diacid utilization regulator SdaR	317.803522215017	286.224141219581	319.662650852671	251.041094374984	326.824152417923	276.091391718076	356.888806228034	322.278256138229	289.738726439209	396.88497130318	364.981472704597	341.865232463205	386.594717194174	282.06939031325	376.424398523287
23	ID=fig|208479.6.peg.49;Name=Cell-division-associated%2C ABC-transporter-like signaling protein FtsE	174.970478522875	166.080674534818	155.432298121024	151.571981509424	144.410671998617	139.278246714922	157.493440805084	143.422260585076	140.441042073154	192.355292840192	150.773202830111	160.844789699901	158.891679882395	177.730242799258	183.421343280438
24	ID=fig|208479.6.peg.50;Name=Cell-division-associated%2C ABC-transporter-like signaling protein FtsX	42.8499131076428	23.3219670623362	15.6409859744426	15.7887480738983	21.9571781986202	20.9533645500326	7.9469167378712	16.873207127656	7.59140767962992	22.5226134021743	26.6611151345927	21.8569574853524	8.75780912737611	14.1476810188464	17.7946079301918
25	ID=fig|208479.6.peg.51;Name=Murein hydrolase activator EnvC	17.8541304615178	26.8555984354175	46.9229579233278	15.7887480738983	18.5791507834478	9.86040684707415	10.8367046425516	26.9971314042495	15.1828153592598	34.0882797438314	35.8546031120385	43.1534801633882	18.7667338443774	17.684601273558	19.1634239248219
26	ID=fig|208479.6.peg.52;Name=Carboxyl-terminal protease (EC 3.4.21.102);Ontology_term=KEGG_ENZYME:3.4.21.102	117.837261046018	95.4080470731936	84.0702996126291	56.839493066034	69.2495620110329	71.4879496412876	65.0202278553099	60.7435456595615	55.6703229839527	105.308435637194	107.563809336116	101.438700124328	77.5691665567598	95.4968468772131	114.980543548931
27	ID=fig|208479.6.peg.54;Name=Acetyltransferase%2C GNAT family	5.35623913845535	5.65381019692999	0	9.47324884433901	1.68901370758617	0	15.8938334757424	3.37464142553119	6.32617306635827	6.08719281139847	3.67739519097831	3.36260884390038	6.25557794812579	3.5369202547116	6.84407997315068
28	ID=fig|208479.6.peg.55;Name=Excinuclease ABC subunit B	12.4978913230625	8.48071529539498	1.95512324680533	18.946497688678	5.0670411227585	2.46510171176854	10.1142576663815	0	12.6523461327165	7.91335065481801	9.19348797744577	5.60434807316729	3.75334676887548	5.3053803820674	9.58171196241095
29	ID=fig|208479.6.peg.57;Name=Chromosome (plasmid) partitioning protein ParA	1.78541304615178	0	5.86536974041598	3.15774961477967	0	2.46510171176854	0	0	0	4.86975424911878	1.83869759548915	4.48347845853383	1.25111558962516	3.5369202547116	2.73763198926027
30	ID=fig|208479.6.peg.58;Name=Chromosome (plasmid) partitioning protein ParB	0	2.826905098465	0	0	0	4.93020342353707	1.44489395234022	0	0	3.65231568683908	1.83869759548915	3.36260884390038	1.25111558962516	3.5369202547116	2.73763198926027
31	ID=fig|208479.6.peg.61;Name=hypothetical protein	21.4249565538214	2.826905098465	1.95512324680533	7.89437403694917	0	2.46510171176854	0	3.37464142553119	2.53046922654331	2.43487712455939	7.35479038195662	2.24173922926692	1.25111558962516	1.7684601273558	0
32	ID=fig|208479.6.peg.62;Name=hypothetical protein	3.57082609230357	2.826905098465	0	1.57887480738983	0	0	0	0	0	2.43487712455939	3.67739519097831	0	0	0	0
33	ID=fig|208479.6.peg.63;Name=hypothetical protein	7.14165218460714	4.24035764769749	9.77561623402664	0	8.44506853793084	2.46510171176854	7.2244697617011	6.74928285106238	7.59140767962992	3.65231568683908	9.19348797744577	4.48347845853383	2.50223117925032	12.3792208914906	5.47526397852054
34	ID=fig|208479.6.peg.64;Name=hypothetical protein	14.2833043692143	7.06726274616249	17.5961092212479	9.47324884433901	11.8230959531032	2.46510171176854	5.77957580936088	0	2.53046922654331	7.30463137367817	7.35479038195662	10.0878265317011	5.00446235850064	10.6107607641348	2.73763198926027
35	ID=fig|208479.6.peg.65;Name=Membrane-bound lytic murein transglycosylase D precursor (EC 3.2.1.-);Ontology_term=KEGG_ENZYME:3.2.1.-	3.57082609230357	7.06726274616249	3.91024649361065	0	1.68901370758617	0	1.44489395234022	3.37464142553119	5.06093845308661	3.65231568683908	1.83869759548915	2.80217403658365	0	0	0
36	ID=fig|208479.6.peg.68;Name=FIG00519347: hypothetical protein	10.7124782769107	2.826905098465	3.91024649361065	3.15774961477967	1.68901370758617	0	0	0	5.06093845308661	7.30463137367817	3.67739519097831	1.12086961463346	2.50223117925032	5.3053803820674	5.47526397852054
37	ID=fig|208479.6.peg.71;Name=hypothetical protein	0	1.4134525492325	1.95512324680533	0	0	0	0	0	0	1.21743856227969	1.83869759548915	2.24173922926692	1.25111558962516	1.7684601273558	0
38	ID=fig|208479.6.peg.73;Name=Possible plasmid transfer factor%2C TraK	3.57082609230357	0	1.95512324680533	3.15774961477967	1.68901370758617	0	1.44489395234022	0	0	1.21743856227969	0	4.48347845853383	2.50223117925032	0	0
39	ID=fig|208479.6.peg.75;Name=hypothetical protein	5.35623913845535	3.53363137308124	1.95512324680533	3.15774961477967	1.68901370758617	0	7.9469167378712	0	0	0	0	0	1.87667338443774	0	4.10644798389041
40	ID=fig|208479.6.peg.76;Name=hypothetical protein	35.7082609230357	41.6968502023587	35.1922184424959	56.839493066034	36.3137947131026	39.4416273882966	82.3589552833925	32.0590935425463	93.6273613821023	50.5237003346073	40.4513471007614	17.9339138341353	37.5334676887548	40.6745829291834	30.113951881863
41	ID=fig|208479.6.peg.77;Name=Metal-dependent phosphohydrolase	85.6998262152856	24.7354196115687	21.5063557148586	41.0507449921357	28.7132330289648	16.0231611264955	50.5712883319077	25.3098106914839	44.2832114645079	16.4354205907759	17.467627157147	3.36260884390038	33.1545631250667	22.9899816556254	13.6881599463014
42	ID=fig|208479.6.repeat.3;Name=repeat region	0	1.4134525492325	2.93268487020799	0	1.68901370758617	2.46510171176854	1.44489395234022	0	2.53046922654331	1.21743856227969	0	1.12086961463346	0.625557794812579	3.5369202547116	2.73763198926027
43	ID=fig|208479.6.peg.80;Name=FIG00646873: hypothetical protein	0	0.706726274616249	0	0	0	0	1.44489395234022	3.37464142553119	0	0	0	2.24173922926692	1.25111558962516	0	0
44	ID=fig|208479.6.peg.81;Name=Sensory box histidine kinase/response regulator	21.4249565538214	13.4277992177087	5.86536974041598	6.31549922955934	18.5791507834478	0	15.8938334757424	3.37464142553119	27.8351614919764	8.52206993595786	14.7095807639132	8.96695691706767	12.5111558962516	7.07384050942319	8.21289596778082
45	ID=fig|208479.6.peg.82;Name=ABC transporter%2C substrate-binding protein (cluster 1%2C maltose/g3p/polyamine/iron)	14.2833043692143	0	0	4.7366244221695	1.68901370758617	4.93020342353707	14.4489395234022	3.37464142553119	5.06093845308661	3.04359640569924	9.19348797744577	3.36260884390038	5.00446235850064	5.3053803820674	5.47526397852054
46	ID=fig|208479.6.peg.83;Name=Mobile element protein	10.7124782769107	7.06726274616249	3.91024649361065	3.15774961477967	6.75605483034467	4.93020342353707	4.33468185702066	0	12.6523461327165	3.04359640569924	14.7095807639132	4.48347845853383	8.75780912737611	8.84230063677899	10.9505279570411
47	ID=fig|208479.6.peg.85;Name=hypothetical protein	0	0	1.95512324680533	0	0	0	0	3.37464142553119	0	2.43487712455939	0	0.560434807316729	1.87667338443774	1.7684601273558	2.73763198926027
48	ID=fig|208479.6.peg.86;Name=diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(s)	0	9.18744157001123	5.86536974041598	9.47324884433901	8.44506853793084	2.46510171176854	2.16734092851033	0	5.06093845308661	6.69591209253832	9.19348797744577	2.24173922926692	8.75780912737611	7.07384050942319	5.47526397852054
49	ID=fig|208479.6.peg.88;Name=hypothetical protein	23.2103695999732	9.89416784462748	3.91024649361065	6.31549922955934	5.0670411227585	4.93020342353707	12.2815985948919	0	12.6523461327165	7.30463137367817	7.35479038195662	8.96695691706767	6.25557794812579	3.5369202547116	2.73763198926027
50	ID=fig|208479.6.peg.89;Name=hypothetical protein	7.14165218460714	0	0	3.15774961477967	1.68901370758617	0	1.44489395234022	0	0	2.43487712455939	0.919348797744577	2.24173922926692	1.25111558962516	3.5369202547116	0
51	ID=fig|208479.6.peg.90;Name=Sensory box histidine kinase/response regulator	137.476804553687	50.8842917723699	34.2146568190932	64.7338671029832	45.6033701048265	52.9996868030236	80.1916143548822	30.3717728297807	75.9140767962992	40.7841918363698	45.0480910894843	25.7800011365695	47.542392405756	34.4849724834381	20.532239919452
52	ID=fig|208479.6.peg.91;Name=hypothetical protein	3.57082609230357	3.53363137308124	1.95512324680533	3.15774961477967	2.53352056137925	2.46510171176854	2.88978790468044	10.1239242765936	0	8.52206993595786	11.0321855729349	3.36260884390038	1.87667338443774	1.7684601273558	0
53	ID=fig|208479.6.repeat.4;Name=repeat region	0	3.53363137308124	0	0	0.844506853793084	0	1.44489395234022	0	0	3.04359640569924	0	1.12086961463346	0.625557794812579	0	0
54	ID=fig|208479.6.peg.95;Name=Thioredoxin reductase (EC 1.8.1.9);Ontology_term=KEGG_ENZYME:1.8.1.9	21.4249565538214	4.94708392231374	5.86536974041598	3.15774961477967	15.2011233682755	4.93020342353707	8.66936371404131	3.37464142553119	11.3871115194449	13.3918241850766	11.9515343706795	10.0878265317011	15.0133870755019	12.3792208914906	10.9505279570411
55	ID=fig|208479.6.peg.96;Name=hypothetical protein	14.2833043692143	9.89416784462748	15.6409859744426	6.31549922955934	8.44506853793084	4.93020342353707	15.8938334757424	0	18.9785191990748	8.52206993595786	11.9515343706795	8.96695691706767	13.7622714858767	12.3792208914906	5.47526397852054
56	ID=fig|208479.6.peg.97;Name=Co-activator of prophage gene expression IbrA	0	4.24035764769749	3.91024649361065	9.47324884433901	1.68901370758617	0	5.77957580936088	6.74928285106238	0	1.21743856227969	2.75804639323373	1.12086961463346	2.50223117925032	0	2.73763198926027
57	ID=fig|208479.6.peg.98;Name=Site-specific recombinase	146.403869784446	106.715667467054	127.083011042346	142.098732665085	149.477713121376	177.487323247335	183.501531947208	273.345955468027	182.193784311118	95.568927138956	57.9189742579084	56.0434807316729	69.4369152241963	114.065678214449	128.668703495233
58	ID=fig|208479.6.peg.103;Name=FIG00514472: hypothetical protein	1.78541304615178	2.826905098465	0	1.57887480738983	0	0	0	6.74928285106238	2.53046922654331	2.43487712455939	7.35479038195662	2.24173922926692	1.25111558962516	1.7684601273558	2.73763198926027
59	ID=fig|208479.6.peg.104;Name=FIG00521858: hypothetical protein	0	2.12017882384875	3.91024649361065	0	1.68901370758617	0	0.72244697617011	0	0	1.82615784341954	0	0.560434807316729	6.25557794812579	0.884230063677899	0
60	ID=fig|208479.6.peg.105;Name=hypothetical protein	0	1.4134525492325	0	12.6309984591187	3.37802741517233	0	2.16734092851033	0	2.53046922654331	5.47847353025862	0	1.68130442195019	5.00446235850064	2.6526901910337	2.73763198926027
61	ID=fig|208479.6.peg.106;Name=hypothetical protein	10.7124782769107	1.4134525492325	0	3.15774961477967	3.37802741517233	0	1.44489395234022	0	5.06093845308661	2.43487712455939	1.83869759548915	4.48347845853383	2.50223117925032	2.6526901910337	2.73763198926027
62	ID=fig|208479.6.peg.107;Name=ATP-dependent DNA helicase rep (EC 3.6.1.-);Ontology_term=KEGG_ENZYME:3.6.1.-	10.7124782769107	0	0	3.15774961477967	5.0670411227585	0	4.33468185702066	0	0	4.86975424911878	0	1.12086961463346	3.75334676887548	3.5369202547116	8.21289596778082
63	ID=fig|208479.6.peg.112;Name=hypothetical protein	0	0	0	3.15774961477967	1.68901370758617	2.46510171176854	1.44489395234022	0	0	0	0	0.560434807316729	0	0	2.73763198926027
64	ID=fig|208479.6.peg.113;Name=Lactoylglutation lyase	23.2103695999732	6.36053647154624	5.86536974041598	6.31549922955934	0	9.86040684707415	2.88978790468044	0	21.5089884256181	3.65231568683908	0	3.36260884390038	2.50223117925032	0.884230063677899	1.36881599463014
65	ID=fig|208479.6.peg.114;Name=hypothetical protein	17.8541304615178	2.826905098465	2.93268487020799	6.31549922955934	3.37802741517233	9.86040684707415	2.88978790468044	10.1239242765936	10.1218769061732	7.30463137367817	14.7095807639132	4.48347845853383	6.88113574293837	3.5369202547116	2.73763198926027
66	ID=fig|208479.6.peg.115;Name=hypothetical protein	14.2833043692143	5.65381019692999	5.86536974041598	3.15774961477967	3.37802741517233	4.93020342353707	2.88978790468044	0	5.06093845308661	1.21743856227969	4.59674398872289	5.04391326585056	5.63002015331321	0	8.21289596778082
67	ID=fig|208479.6.peg.116;Name=hypothetical protein	3.57082609230357	5.65381019692999	0	3.15774961477967	0	12.3255085588427	7.2244697617011	0	17.7132845858031	2.43487712455939	15.6289295616578	5.04391326585056	9.38336692218869	5.3053803820674	8.21289596778082
68	ID=fig|208479.6.peg.117;Name=hypothetical protein	7.14165218460714	1.4134525492325	7.82049298722131	0	1.68901370758617	4.93020342353707	0	3.37464142553119	5.06093845308661	1.21743856227969	1.83869759548915	1.12086961463346	6.25557794812579	1.7684601273558	10.9505279570411
69	ID=fig|208479.6.peg.118;Name=FIG01116341: hypothetical protein	17.8541304615178	4.24035764769749	3.91024649361065	26.8408717256272	3.37802741517233	4.93020342353707	5.77957580936088	0	17.7132845858031	1.21743856227969	5.51609278646746	3.36260884390038	5.00446235850064	3.5369202547116	2.73763198926027
70	ID=fig|208479.6.peg.119;Name=Transcriptional regulator%2C MerR family	42.8499131076428	2.826905098465	3.91024649361065	12.6309984591187	5.91154797655159	12.3255085588427	14.4489395234022	0	11.3871115194449	6.08719281139847	8.27413917970119	4.48347845853383	11.885598101439	3.5369202547116	5.47526397852054
71	ID=fig|208479.6.peg.121;Name=Two component system histidine kinase DSY3688	5.35623913845535	1.4134525492325	1.95512324680533	0	0	2.46510171176854	0	3.37464142553119	7.59140767962992	2.43487712455939	1.83869759548915	4.48347845853383	3.75334676887548	3.5369202547116	5.47526397852054
72	ID=fig|208479.6.peg.122;Name=hypothetical protein	5.35623913845535	2.12017882384875	7.82049298722131	0	0	2.46510171176854	1.44489395234022	0	5.06093845308661	1.82615784341954	1.83869759548915	2.24173922926692	0	0	5.47526397852054
73	ID=fig|208479.6.peg.123;Name=hypothetical protein	46.4207391999464	21.2017882384875	41.0575881829119	56.839493066034	32.9357672979303	22.1859154059168	44.7917125225468	57.3689042340303	115.13634980772	32.8708411815517	104.805762942882	147.954789131617	11.885598101439	60.1276443300971	21.9010559140822
74	ID=fig|208479.6.peg.124;Name=hypothetical protein	7.14165218460714	4.94708392231374	0	6.31549922955934	8.44506853793084	12.3255085588427	8.66936371404131	8.43660356382798	20.2437538123465	3.65231568683908	10.1128367751903	3.36260884390038	6.25557794812579	10.6107607641348	6.84407997315068
75	ID=fig|208479.6.peg.125;Name=hypothetical protein	3.57082609230357	3.53363137308124	3.91024649361065	3.15774961477967	3.37802741517233	3.69765256765281	5.77957580936088	0	8.85664229290157	1.82615784341954	2.75804639323373	4.48347845853383	3.1277889740629	2.6526901910337	5.47526397852054
76	ID=fig|208479.6.peg.126;Name=hypothetical protein	0	4.24035764769749	5.86536974041598	7.89437403694917	5.0670411227585	4.93020342353707	5.77957580936088	8.43660356382798	15.1828153592598	0.608719281139847	2.75804639323373	4.48347845853383	0.625557794812579	4.4211503183895	0
77	ID=fig|208479.6.peg.127;Name=hypothetical protein	3.57082609230357	4.24035764769749	1.95512324680533	11.0521236517288	12.6676028068963	8.62785599118988	9.39181069021142	11.8112449893592	12.6523461327165	4.26103496797893	7.35479038195662	7.84608730243421	0	9.72653070045689	6.84407997315068
78	ID=fig|208479.6.peg.128;Name=hypothetical protein	16.0687174153661	21.2017882384875	17.5961092212479	72.6282411399324	45.6033701048265	29.5812205412224	31.7876669514848	20.2478485531872	67.0574345033976	30.4359640569924	38.6126495052722	15.6921746048684	22.5200806132529	34.4849724834381	15.0569759409315
79	ID=fig|208479.6.peg.129;Name=Two-component response regulator DSY3689	1.78541304615178	1.4134525492325	0	1.57887480738983	1.68901370758617	2.46510171176854	2.88978790468044	0	5.06093845308661	0	0	2.24173922926692	1.25111558962516	0	2.73763198926027
80	ID=fig|208479.6.peg.130;Name=Two component system histidine kinase DSY3688	8.92706523075892	0	1.95512324680533	1.57887480738983	1.68901370758617	4.93020342353707	2.88978790468044	0	5.06093845308661	1.21743856227969	1.83869759548915	8.96695691706767	1.25111558962516	3.5369202547116	0
81	ID=fig|208479.6.peg.131;Name=Transcriptional regulator%2C AraC family	0	0	0	0	3.37802741517233	7.39530513530561	1.44489395234022	0	2.53046922654331	3.65231568683908	1.83869759548915	1.12086961463346	2.50223117925032	3.5369202547116	0
82	ID=fig|208479.6.peg.133;Name=N-Acetyl-D-glucosamine ABC transport system%2C sugar-binding protein	7.14165218460714	0	3.91024649361065	3.15774961477967	0	17.2557119823798	2.88978790468044	0	2.53046922654331	1.21743856227969	0	5.60434807316729	0	0	5.47526397852054
83	ID=fig|208479.6.peg.135;Name=hypothetical protein	3.57082609230357	2.826905098465	0	0	1.68901370758617	13.558059414727	1.44489395234022	3.37464142553119	5.06093845308661	1.21743856227969	1.83869759548915	6.72521768780075	1.25111558962516	0	0
84	ID=fig|208479.6.peg.136;Name=hypothetical protein	3.57082609230357	0	0	3.15774961477967	3.37802741517233	38.2090765324123	0	6.74928285106238	7.59140767962992	0	0	5.60434807316729	3.75334676887548	2.6526901910337	5.47526397852054
85	ID=fig|208479.6.peg.137;Name=N-Acetyl-D-glucosamine ABC transport system%2C permease protein	0	2.826905098465	1.95512324680533	0	1.68901370758617	19.7208136941483	0	0	0	0	1.83869759548915	1.12086961463346	1.25111558962516	0.884230063677899	0
86	ID=fig|208479.6.peg.138;Name=ABC transporter%2C permease protein 2 (cluster 1%2C maltose/g3p/polyamine/iron)	0	1.4134525492325	0	0	0	14.7906102706112	0	0	10.1218769061732	1.21743856227969	0	2.24173922926692	1.25111558962516	0	0
87	ID=fig|208479.6.peg.139;Name=SN-glycerol-3-phosphate transport ATP-binding protein UgpC (TC 3.A.1.1.3)	0	0	1.95512324680533	0	0	14.7906102706112	0	0	0	0	1.83869759548915	1.12086961463346	1.25111558962516	0	0
88	ID=fig|208479.6.peg.140;Name=Teicoplanin resistance protein vanZ	0	0	1.95512324680533	0	1.68901370758617	2.46510171176854	0	0	2.53046922654331	0	0	2.24173922926692	6.25557794812579	0	0
89	ID=fig|208479.6.peg.141;Name=hypothetical protein	1.78541304615178	0.706726274616249	7.82049298722131	1.57887480738983	1.68901370758617	2.46510171176854	1.44489395234022	3.37464142553119	7.59140767962992	1.21743856227969	7.35479038195662	5.04391326585056	6.25557794812579	7.07384050942319	10.9505279570411
90	ID=fig|208479.6.peg.142;Name=Co-activator of prophage gene expression IbrA	249.95782646125	74.2062588347061	133.925942406165	80.5226151768816	105.563356724135	78.8832547765932	103.309917592326	114.737808468061	121.462522874079	107.743312761753	145.257110043643	118.25174434383	202.680725519276	93.7283867498573	121.824623522082
91	ID=fig|208479.6.peg.143;Name=Co-activator of prophage gene expression IbrB	53.5623913845535	32.5094086323474	31.2819719488852	31.5774961477967	21.9571781986202	39.4416273882966	22.3958562612734	13.4985657021248	60.7312614370394	23.1313326833142	27.5804639323373	18.4943486414521	41.9123722524428	19.4530614009138	26.0075038979726
92	ID=fig|208479.6.peg.144;Name=MBL-fold metallo-hydrolase superfamily	0	1.4134525492325	3.91024649361065	3.15774961477967	1.68901370758617	3.69765256765281	7.9469167378712	3.37464142553119	10.1218769061732	3.65231568683908	11.0321855729349	8.96695691706767	2.50223117925032	3.5369202547116	8.21289596778082
93	ID=fig|208479.6.peg.145;Name=Lactoylglutation lyase	39.2790870153392	9.18744157001123	11.730739480832	0	9.28957539172392	12.3255085588427	16.6162804519125	6.74928285106238	22.7742230388898	15.2179820284962	19.3063247526361	15.6921746048684	7.50669353775095	9.72653070045689	12.3193439516712
94	ID=fig|208479.6.peg.146;Name=hypothetical protein	10.7124782769107	9.18744157001123	0	9.47324884433901	3.37802741517233	4.93020342353707	0	3.37464142553119	2.53046922654331	4.86975424911878	3.67739519097831	7.28565249511748	6.25557794812579	1.7684601273558	1.36881599463014
95	ID=fig|208479.6.peg.147;Name=hypothetical protein	5.35623913845535	2.826905098465	0	3.15774961477967	1.68901370758617	7.39530513530561	0.72244697617011	0	5.06093845308661	3.65231568683908	3.67739519097831	6.16478288048402	4.37890456368806	0.884230063677899	4.10644798389041
96	ID=fig|208479.6.peg.148;Name=hypothetical protein	130.33515236908	14.134525492325	21.5063557148586	15.7887480738983	20.268164491034	7.39530513530561	30.3427729991446	5.06196213829679	73.3836075697559	32.2621219004119	85.4994381902457	68.9334812999577	33.7801209198793	32.7165123560823	35.5892158603835
