PD_m1_0h	PD_m2_0h	PD_m3_0h	PD_m4_6h_flag	PD_m5_6h_flag	PD_m6_6h_flag	PD_m7_6h_aCD3	PD_m8_6h_aCD3	PD_m9_6h_aCD3	PD_m10_24h_flag	PD_m11_24h_flag	PD_m12_24h_flag	PD_m13_24h_aCD3	PD_m14_24h_aCD3	PD_m15_24h_aCD3
ID=fig|823.92.peg.13;Name=Hypothetical protein clustered with UpdY	0	0	0	0	0	0	4	2	2	6	4	0	0	0	0
ID=fig|823.92.peg.14;Name=Capsular polysaccharide transcription antitermination protein%2C UpxY family	2	2	0	0	4	0	6	0	0	20	6	2	0	0	0
ID=fig|823.92.peg.15;Name=Tyrosine type site-specific recombinase%2C probable regulator for PS locus	2	0	0	4	4	0	0	0	0	6	8	0	2	0	0
ID=fig|823.92.peg.16;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.17;Name=hypothetical protein	6	13	5	9	3	1	19	0	10	15	23	35	36	13	10
ID=fig|823.92.peg.18;Name=Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	112	563	532	197	160	375	432	140	145	946	599	976	826	366	312
ID=fig|823.92.peg.19;Name=Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	122	242	223	93	56	166	127	70	61	314	221	411	245	148	125
ID=fig|823.92.peg.20;Name=FIG00896871: hypothetical protein	219	571	584	111	151	314	199	128	182	560	378	881	473	395	274
ID=fig|823.92.peg.21;Name=5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13);Ontology_term=KEGG_ENZYME:2.1.1.13	32	32	48	54	133	38	89	34	24	98	122	60	42	22	28
ID=fig|823.92.peg.22;Name=FIG00897015: hypothetical protein	17	19	13	10	21	3	29	4	2	20	32	16	16	8	2
ID=fig|823.92.peg.23;Name=tmRNA-binding protein SmpB	41	16	22	12	17	3	20	8	6	28	40	40	12	20	6
ID=fig|823.92.peg.24;Name=FIG00897895: hypothetical protein	10	14	19	20	37	21	40	11	4	26	60	36	26	18	0
ID=fig|823.92.peg.25;Name=FIG00897247: hypothetical protein	2	4	6	9	4	1	8	2	4	8	25	4	4	2	4
ID=fig|823.92.peg.26;Name=FIG00896976: hypothetical protein	18	22	10	9	20	13	16	8	8	36	36	18	24	11	4
ID=fig|823.92.peg.27;Name=FIG00898740: hypothetical protein	221	293	191	311	680	315	651	307	541	333	679	298	351	188	155
ID=fig|823.92.peg.28;Name=RNA polymerase ECF-type sigma factor	117	267	217	399	747	503	793	515	622	346	563	343	347	226	184
ID=fig|823.92.peg.29;Name=RNA polymerase ECF-type sigma factor	11645	9078	5888	2038	3314	2526	3447	3152	3815	3276	9596	5333	5768	8356	2869
ID=fig|823.92.peg.30;Name=putative heavy-metal binding protein	6	10	20	8	6	6	12	8	8	10	2	6	6	2	2
ID=fig|823.92.peg.31;Name=TonB-dependent outer membrane receptor	18	10	2	8	10	2	16	6	4	18	16	14	8	6	4
ID=fig|823.92.peg.32;Name=hypothetical protein	6	0	10	6	10	6	4	2	4	14	12	2	14	6	6
ID=fig|823.92.peg.33;Name=COG1649 predicted glycoside hydrolase	34	30	36	41	50	33	60	22	22	85	51	56	67	32	12
ID=fig|823.92.peg.34;Name=Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46);Ontology_term=KEGG_ENZYME:3.1.4.46	10	26	35	25	40	17	28	4	12	34	73	40	42	11	16
ID=fig|823.92.peg.35;Name=Thioredoxin reductase (EC 1.8.1.9);Ontology_term=KEGG_ENZYME:1.8.1.9	138	124	130	109	169	111	225	90	114	120	188	210	151	153	54
ID=fig|823.92.peg.36;Name=FIG00898871: hypothetical protein	3	11	3	5	9	2	21	8	8	18	31	34	8	6	6
ID=fig|823.92.peg.37;Name=DNA translocase FtsK	60	75	81	42	165	50	167	49	70	131	183	160	112	72	50
ID=fig|823.92.peg.38;Name=Ferredoxin	78	137	136	133	291	99	304	179	124	211	269	124	257	128	74
ID=fig|823.92.peg.39;Name=Fe-S oxidoreductase	23	57	48	55	146	45	126	54	66	97	165	60	93	44	34
ID=fig|823.92.peg.40;Name=FIG00898259: hypothetical protein	14	7	14	6	24	16	20	10	8	43	42	25	18	8	2
ID=fig|823.92.peg.41;Name=3'-5' exonuclease domain protein	29	5	28	6	14	14	16	0	12	45	36	38	25	20	8
ID=fig|823.92.peg.42;Name=23S rRNA (cytosine(1962)-C(5))-methyltransferase (EC 2.1.1.191);Ontology_term=KEGG_ENZYME:2.1.1.191	51	30	74	27	82	26	58	28	20	88	98	81	91	49	14
ID=fig|823.92.peg.43;Name=UPF0331 protein MA_1296	52	7	0	11	5	2	9	0	21	14	12	21	17	9	14
ID=fig|823.92.peg.44;Name=hypothetical protein	58	23	6	18	13	12	55	4	29	20	40	46	35	24	15
ID=fig|823.92.peg.45;Name=Cell surface glycan-binding lipoprotein%2C utilization system for glycans and polysaccharides (PUL)%2C SusD family	6	8	14	6	8	10	14	10	4	18	15	33	12	0	5
ID=fig|823.92.peg.46;Name=Outer membrane TonB-dependent transporter%2C utilization system for glycans and polysaccharides (PUL)%2C SusC family	42	32	52	28	34	20	32	16	32	34	59	78	36	36	16
ID=fig|823.92.peg.47;Name=Malate dehydrogenase (EC 1.1.1.37);Ontology_term=KEGG_ENZYME:1.1.1.37	143	222	200	179	425	174	458	98	143	293	549	194	330	132	67
ID=fig|823.92.peg.48;Name=hypothetical protein	132	48	16	30	40	20	100	15	72	23	96	42	77	48	20
ID=fig|823.92.peg.49;Name=Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase (EC 2.3.1.129);Ontology_term=KEGG_ENZYME:2.3.1.129	49	116	53	97	164	62	122	28	50	106	135	93	135	70	42
ID=fig|823.92.peg.50;Name=Efflux transport system%2C outer membrane factor (OMF) lipoprotein	91	193	123	102	332	122	283	101	117	176	229	129	219	102	102
ID=fig|823.92.peg.51;Name=RND efflux system%2C inner membrane transporter	107	230	195	235	550	184	566	166	138	254	369	195	298	130	135
ID=fig|823.92.peg.52;Name=RND efflux system%2C membrane fusion protein	66	81	46	114	255	92	189	54	71	136	189	78	88	68	28
ID=fig|823.92.peg.53;Name=FIG00896426: hypothetical protein	23	28	21	18	20	16	16	8	18	76	83	71	51	12	14
ID=fig|823.92.peg.54;Name=transcriptional regulator%2C putative catabolite control protein A	31	26	32	10	21	14	30	10	14	75	84	64	41	20	18
ID=fig|823.92.peg.55;Name=D-mannonate oxidoreductase (EC 1.1.1.57);Ontology_term=KEGG_ENZYME:1.1.1.57	22	27	33	14	21	24	20	4	8	53	35	56	44	6	6
ID=fig|823.92.peg.56;Name=Mannonate dehydratase (EC 4.2.1.8);Ontology_term=KEGG_ENZYME:4.2.1.8	10	26	54	20	28	36	19	10	6	77	71	70	52	18	14
ID=fig|823.92.peg.57;Name=TRAP-type C4-dicarboxylate transport system%2C large permease component	64	147	172	50	55	72	80	38	36	140	130	190	98	127	52
ID=fig|823.92.peg.58;Name=TRAP-type transport system%2C small permease component%2C predicted N-acetylneuraminate transporter	2	12	6	2	2	2	9	0	4	17	25	18	12	8	0
ID=fig|823.92.peg.59;Name=TRAP-type C4-dicarboxylate transport system%2C periplasmic component	35	48	58	44	30	48	60	22	22	86	109	115	60	63	32
ID=fig|823.92.peg.60;Name=FIG00898748: hypothetical protein	17	10	7	4	7	5	6	4	6	10	8	12	13	13	11
ID=fig|823.92.peg.61;Name=Cell wall endopeptidase%2C family M23/M37	28	28	20	42	52	62	96	46	68	35	30	34	22	22	32
ID=fig|823.92.peg.62;Name=hypothetical protein	4093	12924	15028	21459	39015	41606	54542	31198	49227	15286	21752	28787	14456	12917	11478
ID=fig|823.92.peg.63;Name=beta-glucosidase (EC 3.2.1.21);Ontology_term=KEGG_ENZYME:3.2.1.21	18	18	22	6	16	5	40	4	14	32	45	28	28	19	5
ID=fig|823.92.peg.64;Name=Xylanase	8	22	23	32	21	12	60	22	12	70	77	74	24	18	4
ID=fig|823.92.repeat.1;Name=repeat region	54	18	20	43	45	14	25	12	10	46	94	63	26	38	4
ID=fig|823.92.peg.65;Name=hypothetical protein	0	0	0	0	2	0	2	0	0	0	2	2	0	0	0
ID=fig|823.92.peg.66;Name=5'-nucleotidase (EC 3.1.3.5)%3B 2'%2C3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16)%3B Putative UDP-sugar hydrolase (EC 3.6.1.45);Ontology_term=KEGG_ENZYME:3.1.3.5,KEGG_ENZYME:3.1.4.16,KEGG_ENZYME:3.6.1.45	39	48	34	36	35	36	38	10	28	40	70	64	46	26	16
ID=fig|823.92.peg.67;Name=hypothetical protein	8	3	0	4	2	4	8	2	6	28	26	13	14	2	0
ID=fig|823.92.peg.68;Name=alpha-L-rhamnosidase (EC 3.2.1.40);Ontology_term=KEGG_ENZYME:3.2.1.40	18	35	42	18	26	21	26	10	17	67	56	63	46	42	22
ID=fig|823.92.peg.69;Name=Ferredoxin domain protein	178	187	214	83	203	116	138	96	94	186	249	157	202	126	80
ID=fig|823.92.peg.70;Name=Thioredoxin	14	21	24	28	47	36	53	20	22	28	51	55	64	17	24
ID=fig|823.92.peg.71;Name=Indolepyruvate oxidoreductase subunit IorB (EC 1.2.7.8);Ontology_term=KEGG_ENZYME:1.2.7.8	8	4	14	13	22	10	12	6	4	25	34	23	21	7	13
ID=fig|823.92.peg.72;Name=Indolepyruvate oxidoreductase subunit IorA (EC 1.2.7.8);Ontology_term=KEGG_ENZYME:1.2.7.8	38	40	44	26	64	30	50	16	10	77	104	61	59	38	23
ID=fig|823.92.peg.73;Name=FIG004453: protein YceG like	2	0	2	4	6	4	2	4	2	6	10	2	4	0	0
ID=fig|823.92.peg.74;Name=Site-specific recombinase Mpi	48	35	46	32	44	14	52	26	14	66	50	60	16	32	4
ID=fig|823.92.peg.75;Name=Acetyl-CoA synthetase (ADP-forming) alpha and beta chains%2C putative	190	198	191	176	210	177	323	139	167	260	243	287	157	152	48
ID=fig|823.92.peg.76;Name=[NiFe] hydrogenase nickel incorporation-associated protein HypB	70	54	73	62	66	64	105	51	25	74	91	142	51	33	8
ID=fig|823.92.peg.77;Name=[NiFe] hydrogenase nickel incorporation protein HypA	0	2	8	6	2	6	4	2	5	6	6	7	3	6	1
ID=fig|823.92.peg.78;Name=[NiFe] hydrogenase metallocenter assembly protein HypF	26	90	82	50	84	58	78	34	43	112	86	107	65	57	37
ID=fig|823.92.peg.79;Name=[NiFe] hydrogenase metallocenter assembly protein HypC	6	6	9	4	2	3	6	6	2	13	14	21	17	4	11
ID=fig|823.92.peg.80;Name=[NiFe] hydrogenase metallocenter assembly protein HypD	4	6	17	16	10	7	12	12	4	28	16	25	13	20	3
ID=fig|823.92.peg.81;Name=[NiFe] hydrogenase metallocenter assembly protein HypE	22	34	26	14	38	26	34	26	8	43	28	54	18	26	2
ID=fig|823.92.peg.82;Name=Uptake hydrogenase small subunit precursor (EC 1.12.99.6);Ontology_term=KEGG_ENZYME:1.12.99.6	39	41	54	52	64	56	101	58	54	93	68	62	20	36	10
ID=fig|823.92.peg.83;Name=Uptake hydrogenase large subunit (EC 1.12.99.6);Ontology_term=KEGG_ENZYME:1.12.99.6	95	164	163	145	190	196	274	226	195	198	188	176	87	100	67
ID=fig|823.92.peg.84;Name=Ni%2CFe-hydrogenase I cytochrome b subunit	54	79	65	73	46	66	123	44	88	72	110	114	37	43	26
ID=fig|823.92.peg.85;Name=Hydrogenase maturation protease	28	60	53	14	28	41	51	24	25	39	50	75	41	23	30
ID=fig|823.92.peg.86;Name=Glycerol uptake facilitator protein	8	30	32	6	8	11	20	10	18	36	52	33	40	29	12
ID=fig|823.92.peg.87;Name=Glycerol kinase (EC 2.7.1.30);Ontology_term=KEGG_ENZYME:2.7.1.30	32	74	93	32	50	69	67	38	50	126	105	142	90	62	50
ID=fig|823.92.peg.88;Name=Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3);Ontology_term=KEGG_ENZYME:1.1.5.3	72	69	125	59	112	111	88	44	70	106	115	136	89	95	55
ID=fig|823.92.peg.89;Name=Monofunctional biosynthetic peptidoglycan transglycosylase	90	80	96	47	124	62	94	46	32	129	158	138	125	69	53
ID=fig|823.92.peg.90;Name=UPF0324 inner membrane protein YeiH	2	6	8	2	8	14	10	4	4	21	12	30	9	8	6
ID=fig|823.92.peg.91;Name=Transcriptional regulator YeiE%2C LysR family	0	12	24	12	22	14	10	8	12	42	24	64	32	20	8
ID=fig|823.92.peg.92;Name=FIG00896549: hypothetical protein	7	12	9	14	16	11	6	5	6	22	37	22	14	10	10
ID=fig|823.92.peg.93;Name=putative lipoprotein	47	66	15	18	36	27	24	11	12	108	81	44	62	26	4
ID=fig|823.92.peg.94;Name=Two-component system sensor histidine kinase	4	0	2	0	0	0	0	2	0	0	13	4	4	2	2
ID=fig|823.92.peg.95;Name=FIG00897291: hypothetical protein	8	15	30	12	30	19	36	12	14	48	38	43	32	41	16
ID=fig|823.92.peg.96;Name=Nucleoside permease NupC	29	31	39	23	49	35	35	12	8	88	85	88	40	37	19
ID=fig|823.92.peg.97;Name=16S rRNA (uracil(1498)-N(3))-methyltransferase (EC 2.1.1.193);Ontology_term=KEGG_ENZYME:2.1.1.193	19	40	24	15	34	27	31	9	10	55	70	60	26	16	7
ID=fig|823.92.peg.98;Name=hypothetical protein	6	0	0	0	0	2	2	0	2	0	0	4	0	6	2
ID=fig|823.92.peg.99;Name=Putative secreted glycosyl hydrolase	22	36	40	22	46	24	46	18	44	82	154	115	56	36	14
ID=fig|823.92.peg.100;Name=GMP synthase [glutamine-hydrolyzing]%2C amidotransferase subunit (EC 6.3.5.2) / GMP synthase [glutamine-hydrolyzing]%2C ATP pyrophosphatase subunit (EC 6.3.5.2);Ontology_term=KEGG_ENZYME:6.3.5.2,KEGG_ENZYME:6.3.5.2	94	104	94	87	203	76	154	75	65	129	314	147	164	68	54
ID=fig|823.92.peg.101;Name=GMP synthase [glutamine-hydrolyzing]%2C amidotransferase subunit (EC 6.3.5.2) / GMP synthase [glutamine-hydrolyzing]%2C ATP pyrophosphatase subunit (EC 6.3.5.2);Ontology_term=KEGG_ENZYME:6.3.5.2,KEGG_ENZYME:6.3.5.2	22	82	67	85	169	34	129	33	25	127	188	95	112	36	32
ID=fig|823.92.peg.102;Name=dTDP-4-dehydrorhamnose 3%2C5-epimerase (EC 5.1.3.13);Ontology_term=KEGG_ENZYME:5.1.3.13	6	12	8	4	17	4	19	6	6	10	40	18	22	10	2
ID=fig|823.92.peg.103;Name=dTDP-glucose 4%2C6-dehydratase (EC 4.2.1.46);Ontology_term=KEGG_ENZYME:4.2.1.46	162	142	114	78	99	68	118	46	78	134	171	98	120	80	49
ID=fig|823.92.peg.104;Name=Outer membrane assembly protein	54	64	54	40	56	38	59	36	38	76	70	78	66	32	27
ID=fig|823.92.peg.105;Name=UDP-N-acetylglucosamine 4%2C6-dehydratase (EC 4.2.1.135);Ontology_term=KEGG_ENZYME:4.2.1.135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.repeat.2;Name=repeat region	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.106;Name=4-keto-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) aminotransferase	2	2	0	0	0	2	0	2	0	0	2	2	0	4	0
ID=fig|823.92.peg.107;Name=Putative FMN hydrolase (EC 3.1.3.-)%3B 5-Amino-6-(5'-phosphoribitylamino)uracil phosphatase;Ontology_term=KEGG_ENZYME:3.1.3.-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.108;Name=Putative carbamoylphosphate synthase large subunit%2C short form	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0
ID=fig|823.92.peg.109;Name=Lipid carrier : UDP-N-acetylgalactosaminyltransferase (EC 2.4.1.-);Ontology_term=KEGG_ENZYME:2.4.1.-	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0
ID=fig|823.92.peg.110;Name=Capsular polysaccharide synthesis enzyme Cap5L	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ID=fig|823.92.peg.111;Name=UDP-N-acetyl-L-fucosamine synthase (EC 5.1.3.28);Ontology_term=KEGG_ENZYME:5.1.3.28	0	0	2	2	0	0	4	0	0	0	0	4	0	0	0
ID=fig|823.92.peg.112;Name=Capsular polysaccharide synthesis enzyme Cap5F	0	0	2	0	0	0	0	2	2	0	2	0	0	0	0
ID=fig|823.92.peg.113;Name=UDP-N-acetylglucosamine 4%2C6-dehydratase (EC 4.2.1.135);Ontology_term=KEGG_ENZYME:4.2.1.135	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0
ID=fig|823.92.peg.114;Name=putitive LPS biosynthesis protein	2	2	2	0	2	0	0	0	0	0	0	0	0	0	2
ID=fig|823.92.peg.115;Name=Lipopolysaccharide cholinephosphotransferase LicD1 (EC 2.7.8.-);Ontology_term=KEGG_ENZYME:2.7.8.-	4	2	0	0	0	0	0	0	0	0	0	0	2	2	0
ID=fig|823.92.peg.116;Name=dTDP-glucose 4%2C6-dehydratase (EC 4.2.1.46);Ontology_term=KEGG_ENZYME:4.2.1.46	0	0	2	0	0	2	0	2	0	0	0	4	0	0	2
ID=fig|823.92.peg.117;Name=2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60);Ontology_term=KEGG_ENZYME:2.7.7.60	0	0	0	0	2	0	0	0	2	0	2	0	0	0	2
ID=fig|823.92.peg.118;Name=Alpha-L-Rha alpha-1%2C3-L-rhamnosyltransferase (EC 2.4.1.-);Ontology_term=KEGG_ENZYME:2.4.1.-	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ID=fig|823.92.peg.119;Name=a-glycosyltransferase-related protein%2C glycosyltransferase family 4 protein	0	0	0	0	4	0	2	0	0	2	0	0	2	0	0
ID=fig|823.92.peg.120;Name=hypothetical protein	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0
ID=fig|823.92.peg.121;Name=MurB family protein	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0
ID=fig|823.92.peg.122;Name=FIG01066073: hypothetical protein	0	2	4	4	2	0	0	0	2	2	4	0	2	0	0
ID=fig|823.92.peg.123;Name=NAD-dependent epimerase/dehydratase	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0
ID=fig|823.92.peg.124;Name=hypothetical protein	2	0	0	2	2	0	2	0	0	0	0	0	2	2	0
ID=fig|823.92.peg.125;Name=hypothetical protein	0	0	0	0	4	0	2	0	0	0	2	0	0	0	0
ID=fig|823.92.peg.126;Name=hypothetical protein	2	0	4	2	5	0	4	0	0	0	0	0	0	0	2
ID=fig|823.92.peg.127;Name=hypothetical protein	4	5	6	2	10	4	8	3	5	4	6	4	4	4	0
ID=fig|823.92.peg.128;Name=hypothetical protein	4	20	2	12	19	4	19	5	3	24	25	15	29	9	13
ID=fig|823.92.peg.129;Name=FIG00898886: hypothetical protein	6	13	18	12	12	10	29	12	9	34	25	25	17	13	13
ID=fig|823.92.peg.130;Name=hypothetical protein	0	0	0	2	0	0	2	0	0	2	0	2	0	2	0
ID=fig|823.92.peg.131;Name=hypothetical protein	0	0	0	0	0	1	0	0	0	2	2	0	0	4	0
ID=fig|823.92.peg.132;Name=hypothetical protein	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0
ID=fig|823.92.peg.133;Name=N-acetylmuramoyl-L-alanine amidase	0	4	5	4	16	6	20	3	11	6	22	8	6	16	8
ID=fig|823.92.peg.134;Name=Capsular polysaccharide transcription antitermination protein%2C UpxY family	8	18	21	16	62	16	12	16	13	34	48	26	26	40	18
ID=fig|823.92.peg.135;Name=DNA primase (EC 2.7.7.-);Ontology_term=KEGG_ENZYME:2.7.7.-	23	38	34	40	38	38	71	20	18	64	66	38	46	38	24
ID=fig|823.92.peg.136;Name=ABC transporter%2C ATP-binding protein	6	2	4	8	8	18	10	4	12	14	7	10	10	2	2
ID=fig|823.92.peg.137;Name=ABC transporter%2C permease protein	8	18	22	6	12	9	17	2	8	28	40	16	34	4	2
ID=fig|823.92.peg.138;Name=Ribosomal silencing factor RsfA	16	15	20	26	6	14	22	4	2	24	16	16	11	18	9
ID=fig|823.92.peg.139;Name=Cell division protein FtsH (EC 3.4.24.-);Ontology_term=KEGG_ENZYME:3.4.24.-	60	63	112	76	177	108	136	72	62	187	272	126	103	80	35
ID=fig|823.92.peg.140;Name=Phosphatidate cytidylyltransferase (EC 2.7.7.41);Ontology_term=KEGG_ENZYME:2.7.7.41	10	2	8	6	24	2	18	2	2	18	23	12	22	8	2
ID=fig|823.92.peg.141;Name=PorT protein	12	10	8	8	22	6	20	4	6	28	19	20	24	8	12
ID=fig|823.92.peg.142;Name=Ferredoxin	1234	894	1048	454	638	526	944	370	602	843	1494	900	1312	775	498
ID=fig|823.92.peg.143;Name=FIG00897961: hypothetical protein	83	46	32	16	32	24	21	10	18	80	136	189	52	32	32
ID=fig|823.92.peg.144;Name=Transcription termination protein NusB	14	11	6	8	30	11	18	0	8	22	22	14	32	20	6
ID=fig|823.92.peg.145;Name=Protein translocase subunit YajC	226	107	124	96	170	123	197	49	160	182	233	258	164	174	95
ID=fig|823.92.peg.146;Name=FIG00935560: hypothetical protein	20	4	8	20	32	16	60	12	24	19	57	23	40	17	11
ID=fig|823.92.peg.147;Name=Dephospho-CoA kinase (EC 2.7.1.24);Ontology_term=KEGG_ENZYME:2.7.1.24	1	0	2	0	12	1	19	1	6	17	8	2	7	3	0
ID=fig|823.92.peg.148;Name=FIG00937286: hypothetical protein	51	22	14	20	48	30	38	10	14	34	86	54	46	30	18
ID=fig|823.92.peg.149;Name=ROK family protein (putative glucokinase)	2	4	0	0	6	2	0	0	0	2	8	4	0	2	0
ID=fig|823.92.peg.150;Name=N-acetylmannosamine-6-phosphate 2-epimerase (EC 5.1.3.9);Ontology_term=KEGG_ENZYME:5.1.3.9	2	4	2	2	2	0	4	2	0	7	0	2	4	2	2
ID=fig|823.92.peg.151;Name=Pyruvate formate-lyase (EC 2.3.1.54);Ontology_term=KEGG_ENZYME:2.3.1.54	4	12	4	6	10	6	12	0	8	27	14	8	4	4	4
ID=fig|823.92.peg.152;Name=Pyruvate formate-lyase activating enzyme (EC 1.97.1.4);Ontology_term=KEGG_ENZYME:1.97.1.4	2	2	0	0	0	2	0	0	0	4	2	2	2	0	0
ID=fig|823.92.peg.153;Name=Galactoside O-acetyltransferase (EC 2.3.1.18);Ontology_term=KEGG_ENZYME:2.3.1.18	4	0	9	4	13	8	17	4	4	12	17	3	2	6	2
ID=fig|823.92.peg.154;Name=putative AraC transcriptional regulatory protein	2	4	17	6	5	2	9	0	2	14	27	15	8	12	0
ID=fig|823.92.peg.155;Name=Putative secreted glycosyl hydrolase	0	0	0	0	2	2	6	4	8	6	12	13	0	4	2
ID=fig|823.92.peg.156;Name=FIG00897116: hypothetical protein	4	0	4	8	4	4	4	4	4	4	12	9	9	2	0
ID=fig|823.92.peg.157;Name=endonuclease/exonuclease/phosphatase family precursor (38.1 kD) (5F605)	16	13	26	12	30	16	36	8	10	32	16	14	27	10	10
ID=fig|823.92.peg.158;Name=Myo-inositol 2-dehydrogenase (EC 1.1.1.18);Ontology_term=KEGG_ENZYME:1.1.1.18	43	54	118	39	80	69	78	52	52	93	108	128	83	62	40
ID=fig|823.92.peg.159;Name=Inosose dehydratase (EC 4.2.1.44);Ontology_term=KEGG_ENZYME:4.2.1.44	3	26	30	16	22	37	28	8	12	39	30	32	36	22	16
ID=fig|823.92.peg.160;Name=ATP-dependent protease La (EC 3.4.21.53) Type I;Ontology_term=KEGG_ENZYME:3.4.21.53	100	158	154	92	222	122	306	240	182	414	734	351	218	188	78
ID=fig|823.92.peg.161;Name=tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase (EC 2.1.1.223);Ontology_term=KEGG_ENZYME:2.1.1.223	3	10	6	4	8	4	18	10	2	6	8	4	22	6	6
ID=fig|823.92.peg.162;Name=Transcription regulator [contains diacylglycerol kinase catalytic domain]	1	0	6	7	18	4	16	4	4	12	24	16	18	10	0
ID=fig|823.92.peg.163;Name=Serine palmitoyltransferase (EC 2.3.1.50);Ontology_term=KEGG_ENZYME:2.3.1.50	62	78	51	65	150	38	120	32	40	68	260	72	94	42	38
ID=fig|823.92.peg.164;Name=Stage 0 sporulation protein YaaT	60	60	63	40	68	90	114	32	38	163	110	104	145	72	45
ID=fig|823.92.peg.165;Name=FIG00898787: hypothetical protein	3	4	5	8	18	4	6	0	2	15	18	7	6	0	1
ID=fig|823.92.peg.166;Name=Rod shape-determining protein RodA	16	12	4	8	36	8	12	6	4	14	22	9	9	8	6
ID=fig|823.92.peg.167;Name=Penicillin-binding protein 2 (PBP-2)	6	14	10	18	19	22	22	8	8	17	38	10	22	8	0
ID=fig|823.92.peg.168;Name=Rod shape-determining protein MreD	8	11	2	3	34	4	8	2	5	10	17	0	16	8	0
ID=fig|823.92.peg.169;Name=Rod shape-determining protein MreC	54	28	32	25	62	20	49	6	23	38	55	31	45	42	14
ID=fig|823.92.peg.170;Name=Rod shape-determining protein MreB	65	218	276	140	333	226	281	156	134	245	341	244	260	150	131
