sample	exp	Kingdom	Phylum	Class	Order	Family	Genus	Species	pctseqs	numseqs
12	3mix.post.1..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus bromii	3.32374985458594e-05	3.32374985458594e-05
13	3mix.post.1..pool957	3mix	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	Erysipelatoclostridium ramosum	2.76979154548829e-05	2.76979154548829e-05
14	3mix.post.1..pool957	3mix	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus provencensis	1.10791661819531e-05	1.10791661819531e-05
15	3mix.post.1..pool957	3mix	Viridiplantae	Streptophyta	Liliopsida	Poales	Poaceae	Aegilops	Aegilops tauschii	7.20145801826954e-05	7.20145801826954e-05
16	3mix.post.1..pool957	3mix	Viridiplantae	Streptophyta	xxxx	Solanales	Solanaceae	Solanum	Solanum pennellii	0.00198317074656961	0.00198317074656961
17	3mix.post.2..pool957	3mix	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis	0.396720586202129	0.396720586202129
18	3mix.post.2..pool957	3mix	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius	1.10604175307618e-05	1.10604175307618e-05
19	3mix.post.2..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia marasmi	0.491220793584958	0.491220793584958
20	3mix.post.2..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium] bolteae	0.110488040923545	0.110488040923545
21	3mix.post.2..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus russellii	5.53020876538089e-05	5.53020876538089e-05
22	3mix.post.2..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus bromii	2.21208350615236e-05	2.21208350615236e-05
23	3mix.post.2..pool957	3mix	Viridiplantae	Streptophyta	Liliopsida	Poales	Poaceae	Aegilops	Aegilops tauschii	4.9771878888428e-05	4.9771878888428e-05
24	3mix.post.2..pool957	3mix	Viridiplantae	Streptophyta	xxxx	Solanales	Solanaceae	Solanum	Solanum pennellii	0.00143232407023365	0.00143232407023365
25	3mix.post.3..pool957	3mix	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium catenulatum	4.2836249258015e-05	4.2836249258015e-05
26	3mix.post.3..pool957	3mix	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Frondihabitans	Frondihabitans australicus	2.44778567188657e-05	2.44778567188657e-05
27	3mix.post.3..pool957	3mix	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium keratanolyticum	2.44778567188657e-05	2.44778567188657e-05
28	3mix.post.3..pool957	3mix	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Sanguibacteraceae	Sanguibacter	Sanguibacter keddieii	3.67167850782985e-05	3.67167850782985e-05
29	3mix.post.3..pool957	3mix	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis	0.26220068170831	0.26220068170831
30	3mix.post.3..pool957	3mix	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus crassostreae	1.83583925391493e-05	1.83583925391493e-05
31	3mix.post.3..pool957	3mix	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc mesenteroides	1.22389283594328e-05	1.22389283594328e-05
32	3mix.post.3..pool957	3mix	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius	4.2836249258015e-05	4.2836249258015e-05
33	3mix.post.3..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia marasmi	0.438992001860317	0.438992001860317
34	3mix.post.3..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia wexlerae	1.22389283594328e-05	1.22389283594328e-05
35	3mix.post.3..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium] bolteae	0.296096393799759	0.296096393799759
36	3mix.post.3..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile	0.000134628211953761	0.000134628211953761
37	3mix.post.3..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus russellii	3.67167850782985e-05	3.67167850782985e-05
38	3mix.post.3..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Gemmiger	Gemmiger formicilis	2.44778567188657e-05	2.44778567188657e-05
39	3mix.post.3..pool957	3mix	Viridiplantae	Streptophyta	Liliopsida	Poales	Poaceae	Aegilops	Aegilops tauschii	4.2836249258015e-05	4.2836249258015e-05
40	3mix.post.3..pool957	3mix	Viridiplantae	Streptophyta	xxxx	Solanales	Solanaceae	Solanum	Solanum pennellii	0.00225808228231536	0.00225808228231536
41	3mix.post.4..pool957	3mix	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum	4.70942827540737e-05	4.70942827540737e-05
42	3mix.post.4..pool957	3mix	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis	0.406496917940829	0.406496917940829
43	3mix.post.4..pool957	3mix	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius	3.13961885027158e-05	3.13961885027158e-05
44	3mix.post.4..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium disporicum	0.000104653961675719	0.000104653961675719
45	3mix.post.4..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	[Eubacterium] hallii	1.56980942513579e-05	1.56980942513579e-05
46	3mix.post.4..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae	Eubacterium	Eubacterium coprostanoligenes	3.66288865865017e-05	3.66288865865017e-05
47	3mix.post.4..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia marasmi	0.407224262974475	0.407224262974475
48	3mix.post.4..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium] bolteae	0.184379349680282	0.184379349680282
49	3mix.post.4..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	xxxx	[Eubacterium] rectale	3.13961885027158e-05	3.13961885027158e-05
50	3mix.post.4..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Dehalobacter	Dehalobacter restrictus	3.66288865865017e-05	3.66288865865017e-05
51	3mix.post.4..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Intestinibacter	Intestinibacter bartlettii	5.75596789216456e-05	5.75596789216456e-05
52	3mix.post.4..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii	0.000214540621435224	0.000214540621435224
53	3mix.post.4..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Gemmiger	Gemmiger formicilis	0.00021977331951901	0.00021977331951901
54	3mix.post.4..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus bromii	0.000434313940954235	0.000434313940954235
55	3mix.post.4..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus callidus	0.000136050150178435	0.000136050150178435
56	3mix.post.4..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus champanellensis	6.27923770054315e-05	6.27923770054315e-05
57	3mix.post.4..pool957	3mix	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	[Clostridium] saccharogumia	3.66288865865017e-05	3.66288865865017e-05
58	3mix.post.4..pool957	3mix	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Gallicola	Gallicola barnesae	1.56980942513579e-05	1.56980942513579e-05
59	3mix.post.4..pool957	3mix	Viridiplantae	Streptophyta	Liliopsida	Poales	Poaceae	Aegilops	Aegilops tauschii	4.18615846702877e-05	4.18615846702877e-05
60	3mix.post.4..pool957	3mix	Viridiplantae	Streptophyta	xxxx	Solanales	Solanaceae	Solanum	Solanum pennellii	0.000376754262032589	0.000376754262032589
61	3mix.post.5..pool957	3mix	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium catenulatum	0.000120547284672413	0.000120547284672413
62	3mix.post.5..pool957	3mix	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis	0.382805436682539	0.382805436682539
63	3mix.post.5..pool957	3mix	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella confusa	3.7671026460129e-05	3.7671026460129e-05
64	3mix.post.5..pool957	3mix	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius	2.26026158760774e-05	2.26026158760774e-05
65	3mix.post.5..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia marasmi	0.41583539268278	0.41583539268278
66	3mix.post.5..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia wexlerae	2.26026158760774e-05	2.26026158760774e-05
67	3mix.post.5..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium] bolteae	0.199475619311675	0.199475619311675
68	3mix.post.5..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus russellii	3.7671026460129e-05	3.7671026460129e-05
69	3mix.post.5..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus bromii	2.26026158760774e-05	2.26026158760774e-05
70	3mix.post.5..pool957	3mix	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	[Clostridium] innocuum	1.50684105840516e-05	1.50684105840516e-05
71	3mix.post.5..pool957	3mix	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	[Clostridium] saccharogumia	0.000128081489964439	0.000128081489964439
72	3mix.post.5..pool957	3mix	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus provencensis	3.01368211681032e-05	3.01368211681032e-05
73	3mix.post.5..pool957	3mix	Viridiplantae	Streptophyta	Liliopsida	Poales	Poaceae	Aegilops	Aegilops tauschii	7.5342052920258e-05	7.5342052920258e-05
74	3mix.post.5..pool957	3mix	Viridiplantae	Streptophyta	xxxx	Solanales	Solanaceae	Solanum	Solanum pennellii	0.0013712253631487	0.0013712253631487
75	3mix.post.6..pool957	3mix	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis	0.000409184835609992	0.000409184835609992
76	3mix.post.6..pool957	3mix	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium catenulatum	0.000381905846569326	0.000381905846569326
77	3mix.post.6..pool957	3mix	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	Curtobacterium flaccumfaciens	3.40987363008327e-05	3.40987363008327e-05
78	3mix.post.6..pool957	3mix	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis	0.421262608007747	0.421262608007747
79	3mix.post.6..pool957	3mix	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus amyloliquefaciens	6.13777253414988e-05	6.13777253414988e-05
80	3mix.post.6..pool957	3mix	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella confusa	2.04592417804996e-05	2.04592417804996e-05
81	3mix.post.6..pool957	3mix	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	0.000143214692463497	0.000143214692463497
82	3mix.post.6..pool957	3mix	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius	2.72789890406662e-05	2.72789890406662e-05
83	3mix.post.6..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium disporicum	0.000361446604788827	0.000361446604788827
84	3mix.post.6..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium tunisiense	4.77382308211658e-05	4.77382308211658e-05
85	3mix.post.6..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes hadrus	4.77382308211658e-05	4.77382308211658e-05
86	3mix.post.6..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia luti	0.000122755450682998	0.000122755450682998
87	3mix.post.6..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia marasmi	0.443297211405345	0.443297211405345
88	3mix.post.6..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia obeum	2.04592417804996e-05	2.04592417804996e-05
89	3mix.post.6..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia schinkii	2.04592417804996e-05	2.04592417804996e-05
90	3mix.post.6..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium] bolteae	0.132725921177361	0.132725921177361
91	3mix.post.6..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus russellii	4.77382308211658e-05	4.77382308211658e-05
92	3mix.post.6..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Romboutsia	Romboutsia timonensis	3.40987363008327e-05	3.40987363008327e-05
93	3mix.post.6..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Terrisporobacter	Terrisporobacter petrolearius	5.45579780813323e-05	5.45579780813323e-05
94	3mix.post.6..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Agathobaculum	Agathobaculum butyriciproducens	2.04592417804996e-05	2.04592417804996e-05
95	3mix.post.6..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii	6.13777253414988e-05	6.13777253414988e-05
96	3mix.post.6..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus bromii	0.000150034439723664	0.000150034439723664
97	3mix.post.6..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	xxxx	Monoglobus	Monoglobus pectinilyticus	2.72789890406662e-05	2.72789890406662e-05
98	3mix.post.6..pool957	3mix	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	[Clostridium] innocuum	4.09184835609992e-05	4.09184835609992e-05
99	3mix.post.6..pool957	3mix	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	[Clostridium] saccharogumia	0.000313708373967661	0.000313708373967661
100	3mix.post.6..pool957	3mix	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus provencensis	1.36394945203331e-05	1.36394945203331e-05
101	3mix.post.6..pool957	3mix	Viridiplantae	Streptophyta	xxxx	Solanales	Solanaceae	Solanum	Solanum pennellii	0.000252330648626162	0.000252330648626162
102	3mix.pre.1..pool957	3mix	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis	0.340122982321291	0.340122982321291
103	3mix.pre.1..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia marasmi	0.570074301819114	0.570074301819114
104	3mix.pre.1..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium] bolteae	0.0894312067640277	0.0894312067640277
105	3mix.pre.1..pool957	3mix	Viridiplantae	Streptophyta	xxxx	Solanales	Solanaceae	Solanum	Solanum pennellii	0.000371509095567512	0.000371509095567512
106	3mix.pre.2..pool957	3mix	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis	0.411607449435079	0.411607449435079
107	3mix.pre.2..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia marasmi	0.495626154776893	0.495626154776893
108	3mix.pre.2..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium] bolteae	0.0922268186203175	0.0922268186203175
109	3mix.pre.2..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus bromii	4.9052469791854e-05	4.9052469791854e-05
110	3mix.pre.2..pool957	3mix	Viridiplantae	Streptophyta	xxxx	Solanales	Solanaceae	Solanum	Solanum pennellii	0.00049052469791854	0.00049052469791854
111	3mix.pre.3..pool957	3mix	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium keratanolyticum	0.000136837681187751	0.000136837681187751
112	3mix.pre.3..pool957	3mix	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium suwonense	6.84188405938755e-05	6.84188405938755e-05
113	3mix.pre.3..pool957	3mix	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Sanguibacteraceae	Sanguibacter	Sanguibacter keddieii	9.77412008483936e-05	9.77412008483936e-05
114	3mix.pre.3..pool957	3mix	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis	0.373791674404512	0.373791674404512
115	3mix.pre.3..pool957	3mix	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus crassostreae	3.90964803393574e-05	3.90964803393574e-05
116	3mix.pre.3..pool957	3mix	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Leuconostoc	Leuconostoc mesenteroides	3.90964803393574e-05	3.90964803393574e-05
117	3mix.pre.3..pool957	3mix	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius	7.81929606787149e-05	7.81929606787149e-05
118	3mix.pre.3..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia marasmi	0.388922012295843	0.388922012295843
119	3mix.pre.3..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium] bolteae	0.233435309986219	0.233435309986219
120	3mix.pre.3..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus russellii	3.90964803393574e-05	3.90964803393574e-05
121	3mix.pre.3..pool957	3mix	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus provencensis	5.86447205090362e-05	5.86447205090362e-05
122	3mix.pre.3..pool957	3mix	Viridiplantae	Streptophyta	Liliopsida	Poales	Poaceae	Aegilops	Aegilops tauschii	0.000117289441018072	0.000117289441018072
123	3mix.pre.3..pool957	3mix	Viridiplantae	Streptophyta	xxxx	Solanales	Solanaceae	Solanum	Solanum pennellii	0.00317658902757279	0.00317658902757279
124	3mix.pre.4..pool957	3mix	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Curtobacterium	Curtobacterium flaccumfaciens	3.9968424944294e-05	3.9968424944294e-05
125	3mix.pre.4..pool957	3mix	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium aerolatum	2.99763187082205e-05	2.99763187082205e-05
126	3mix.pre.4..pool957	3mix	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis	0.522447266659339	0.522447266659339
127	3mix.pre.4..pool957	3mix	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus amyloliquefaciens	9.9921062360735e-06	9.9921062360735e-06
128	3mix.pre.4..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia marasmi	0.330354020323944	0.330354020323944
129	3mix.pre.4..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium] bolteae	0.145170315450794	0.145170315450794
130	3mix.pre.4..pool957	3mix	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelatoclostridium	Erysipelatoclostridium ramosum	1.49881593541103e-05	1.49881593541103e-05
131	3mix.pre.4..pool957	3mix	Viridiplantae	Streptophyta	Liliopsida	Poales	Poaceae	Aegilops	Aegilops tauschii	2.99763187082205e-05	2.99763187082205e-05
132	3mix.pre.4..pool957	3mix	Viridiplantae	Streptophyta	xxxx	Solanales	Solanaceae	Solanum	Solanum pennellii	0.001903496237972	0.001903496237972
133	3mix.pre.5..pool957	3mix	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium catenulatum	2.71332377640403e-05	2.71332377640403e-05
134	3mix.pre.5..pool957	3mix	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Leucobacter	Leucobacter chromiireducens	3.1655444058047e-05	3.1655444058047e-05
135	3mix.pre.5..pool957	3mix	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium	Atopobium minutum	1.80888251760269e-05	1.80888251760269e-05
136	3mix.pre.5..pool957	3mix	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis	0.386607938280929	0.386607938280929
137	3mix.pre.5..pool957	3mix	Bacteria	Firmicutes	Bacilli	Lactobacillales	Leuconostocaceae	Weissella	Weissella hellenica	1.35666188820202e-05	1.35666188820202e-05
138	3mix.pre.5..pool957	3mix	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius	7.68775069981142e-05	7.68775069981142e-05
139	3mix.pre.5..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia marasmi	0.418213638069741	0.418213638069741
140	3mix.pre.5..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	[Clostridium] bolteae	0.191076782540666	0.191076782540666
141	3mix.pre.5..pool957	3mix	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus russellii	7.23553007041075e-05	7.23553007041075e-05
142	3mix.pre.5..pool957	3mix	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus provencensis	2.26110314700336e-05	2.26110314700336e-05
143	3mix.pre.5..pool957	3mix	Viridiplantae	Streptophyta	Liliopsida	Poales	Poaceae	Aegilops	Aegilops tauschii	0.000104010744762155	0.000104010744762155
144	3mix.pre.5..pool957	3mix	Viridiplantae	Streptophyta	xxxx	Cucurbitales	Cucurbitaceae	Cucurbita	Cucurbita pepo	3.61776503520538e-05	3.61776503520538e-05
145	3mix.pre.5..pool957	3mix	Viridiplantae	Streptophyta	xxxx	Solanales	Solanaceae	Solanum	Solanum pennellii	0.0036991647484975	0.0036991647484975
146	3mix.pre.6..pool957	3mix	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis	0.435348499013192	0.435348499013192
147	3mix.pre.6..pool957	3mix	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus salivarius	3.11623558741041e-05	3.11623558741041e-05
