"","sample","compound","value","dilution","run","tube_label"
"45","123","acetate",381046,"dilute","SBR1",123
"46","109","Propionate.ISTD",612943,"dilute","SBR1",109
"47","110","Propionate.ISTD",651683,"dilute","SBR1",110
"48","111","Propionate.ISTD",696789,"dilute","SBR1",111
"49","112","Propionate.ISTD",591444,"dilute","SBR1",112
"50","113","Propionate.ISTD",607959,"dilute","SBR1",113
"51","114","Propionate.ISTD",735083,"dilute","SBR1",114
"52","115","Propionate.ISTD",752927,"dilute","SBR1",115
"53","116","Propionate.ISTD",662622,"dilute","SBR1",116
"54","117","Propionate.ISTD",777819,"dilute","SBR1",117
"55","118","Propionate.ISTD",709156,"dilute","SBR1",118
"56","119","Propionate.ISTD",686779,"dilute","SBR1",119
"57","120","Propionate.ISTD",748761,"dilute","SBR1",120
"58","121","Propionate.ISTD",677406,"dilute","SBR1",121
"59","122","Propionate.ISTD",663818,"dilute","SBR1",122
"60","123","Propionate.ISTD",723316,"dilute","SBR1",123
"61","c109","Propionate.ISTD",9389045,"concentrate","SBR1",109
"62","c110","Propionate.ISTD",9675047,"concentrate","SBR1",110
"63","c111","Propionate.ISTD",8228829,"concentrate","SBR1",111
"64","c112","Propionate.ISTD",8485216,"concentrate","SBR1",112
"65","c113","Propionate.ISTD",8255084,"concentrate","SBR1",113
"66","c114","Propionate.ISTD",9771441,"concentrate","SBR1",114
"67","c115","Propionate.ISTD",9898140,"concentrate","SBR1",115
"68","c116","Propionate.ISTD",9364723,"concentrate","SBR1",116
"69","c117","Propionate.ISTD",8321292,"concentrate","SBR1",117
"70","c118","Propionate.ISTD",9011202,"concentrate","SBR1",118
"71","c119","Propionate.ISTD",9158210,"concentrate","SBR1",119
"72","c120","Propionate.ISTD",7861095,"concentrate","SBR1",120
"73","c121","Propionate.ISTD",8882743,"concentrate","SBR1",121
"74","c122","Propionate.ISTD",8695302,"concentrate","SBR1",122
"75","c123","Propionate.ISTD",9231809,"concentrate","SBR1",123
"76","109","propionate",355316,"dilute","SBR1",109
"77","110","propionate",321721,"dilute","SBR1",110
"78","111","propionate",365994,"dilute","SBR1",111
"79","112","propionate",171248,"dilute","SBR1",112
"80","113","propionate",239161,"dilute","SBR1",113
"81","114","propionate",224465,"dilute","SBR1",114
"82","115","propionate",252282,"dilute","SBR1",115
"83","116","propionate",215359,"dilute","SBR1",116
"84","117","propionate",291545,"dilute","SBR1",117
"85","118","propionate",505741,"dilute","SBR1",118
"86","119","propionate",451681,"dilute","SBR1",119
"87","120","propionate",635757,"dilute","SBR1",120
"88","121","propionate",273467,"dilute","SBR1",121
"89","122","propionate",493406,"dilute","SBR1",122
"90","123","propionate",247403,"dilute","SBR1",123
"91","109","isobutyrate",17814,"dilute","SBR1",109
"92","110","isobutyrate",46019,"dilute","SBR1",110
"93","111","isobutyrate",41471,"dilute","SBR1",111
"94","112","isobutyrate",26834,"dilute","SBR1",112
"95","113","isobutyrate",22295,"dilute","SBR1",113
"96","114","isobutyrate",24613,"dilute","SBR1",114
"97","115","isobutyrate",33326,"dilute","SBR1",115
"98","116","isobutyrate",32419,"dilute","SBR1",116
"99","117","isobutyrate",32397,"dilute","SBR1",117
"100","118","isobutyrate",46569,"dilute","SBR1",118
"101","119","isobutyrate",20369,"dilute","SBR1",119
"102","120","isobutyrate",38646,"dilute","SBR1",120
"103","121","isobutyrate",31586,"dilute","SBR1",121
"104","122","isobutyrate",22283,"dilute","SBR1",122
"105","123","isobutyrate",41682,"dilute","SBR1",123
"106","c109","pivalate",39348,"concentrate","SBR1",109
"107","c110","pivalate",32972,"concentrate","SBR1",110
"108","c111","pivalate",31496,"concentrate","SBR1",111
"109","c112","pivalate",32577,"concentrate","SBR1",112
"110","c113","pivalate",38769,"concentrate","SBR1",113
"111","c114","pivalate",42340,"concentrate","SBR1",114
"112","c115","pivalate",37724,"concentrate","SBR1",115
"113","c116","pivalate",48343,"concentrate","SBR1",116
"114","c117","pivalate",34336,"concentrate","SBR1",117
"115","c118","pivalate",39694,"concentrate","SBR1",118
"116","c119","pivalate",37390,"concentrate","SBR1",119
"117","c120","pivalate",32530,"concentrate","SBR1",120
"118","c121","pivalate",50495,"concentrate","SBR1",121
"119","c122","pivalate",35941,"concentrate","SBR1",122
"120","c123","pivalate",38953,"concentrate","SBR1",123
"121","109","Butyrate.ISTD",1278309,"dilute","SBR1",109
"122","110","Butyrate.ISTD",1358991,"dilute","SBR1",110
"123","111","Butyrate.ISTD",1444975,"dilute","SBR1",111
"124","112","Butyrate.ISTD",1287817,"dilute","SBR1",112
"125","113","Butyrate.ISTD",1204432,"dilute","SBR1",113
"126","114","Butyrate.ISTD",1474556,"dilute","SBR1",114
"127","115","Butyrate.ISTD",1558047,"dilute","SBR1",115
"128","116","Butyrate.ISTD",1283922,"dilute","SBR1",116
"129","117","Butyrate.ISTD",1532664,"dilute","SBR1",117
"130","118","Butyrate.ISTD",1411089,"dilute","SBR1",118
"131","119","Butyrate.ISTD",1453390,"dilute","SBR1",119
"132","120","Butyrate.ISTD",1601630,"dilute","SBR1",120
"133","121","Butyrate.ISTD",1349526,"dilute","SBR1",121
"134","122","Butyrate.ISTD",1327441,"dilute","SBR1",122
"135","123","Butyrate.ISTD",1436038,"dilute","SBR1",123
"136","109","ButyrateM1.ISTD",58514,"dilute","SBR1",109
"137","110","ButyrateM1.ISTD",60741,"dilute","SBR1",110
"138","111","ButyrateM1.ISTD",54430,"dilute","SBR1",111
"139","112","ButyrateM1.ISTD",52205,"dilute","SBR1",112
"140","113","ButyrateM1.ISTD",52666,"dilute","SBR1",113
"141","114","ButyrateM1.ISTD",61692,"dilute","SBR1",114
"142","115","ButyrateM1.ISTD",71297,"dilute","SBR1",115
"143","116","ButyrateM1.ISTD",51387,"dilute","SBR1",116
"144","117","ButyrateM1.ISTD",61519,"dilute","SBR1",117
"145","118","ButyrateM1.ISTD",59918,"dilute","SBR1",118
"146","119","ButyrateM1.ISTD",63892,"dilute","SBR1",119
"147","120","ButyrateM1.ISTD",71404,"dilute","SBR1",120
"148","121","ButyrateM1.ISTD",50467,"dilute","SBR1",121
"149","122","ButyrateM1.ISTD",49080,"dilute","SBR1",122
"150","123","ButyrateM1.ISTD",60037,"dilute","SBR1",123
"151","c109","ButyrateM1.ISTD",741832,"concentrate","SBR1",109
"152","c110","ButyrateM1.ISTD",822499,"concentrate","SBR1",110
"153","c111","ButyrateM1.ISTD",716387,"concentrate","SBR1",111
"154","c112","ButyrateM1.ISTD",671505,"concentrate","SBR1",112
"155","c113","ButyrateM1.ISTD",683183,"concentrate","SBR1",113
"156","c114","ButyrateM1.ISTD",833377,"concentrate","SBR1",114
"157","c115","ButyrateM1.ISTD",857168,"concentrate","SBR1",115
"158","c116","ButyrateM1.ISTD",823922,"concentrate","SBR1",116
"159","c117","ButyrateM1.ISTD",688045,"concentrate","SBR1",117
"160","c118","ButyrateM1.ISTD",750743,"concentrate","SBR1",118
"161","c119","ButyrateM1.ISTD",810696,"concentrate","SBR1",119
"162","c120","ButyrateM1.ISTD",662039,"concentrate","SBR1",120
"163","c121","ButyrateM1.ISTD",744915,"concentrate","SBR1",121
"164","c122","ButyrateM1.ISTD",768866,"concentrate","SBR1",122
"165","c123","ButyrateM1.ISTD",733175,"concentrate","SBR1",123
"166","109","butyrate",2720,"dilute","SBR1",109
"167","110","butyrate",3223,"dilute","SBR1",110
"168","111","butyrate",3552,"dilute","SBR1",111
"169","112","butyrate",2509,"dilute","SBR1",112
"170","113","butyrate",1871,"dilute","SBR1",113
"171","114","butyrate",2810,"dilute","SBR1",114
"172","115","butyrate",2009,"dilute","SBR1",115
"173","116","butyrate",2276,"dilute","SBR1",116
"174","117","butyrate",3174,"dilute","SBR1",117
"175","118","butyrate",3703,"dilute","SBR1",118
"176","119","butyrate",2352,"dilute","SBR1",119
"177","120","butyrate",3077,"dilute","SBR1",120
"178","121","butyrate",3374,"dilute","SBR1",121
"179","122","butyrate",2908,"dilute","SBR1",122
"180","123","butyrate",2752,"dilute","SBR1",123
"181","c109","X2.methylbutyrate",303996,"concentrate","SBR1",109
"182","c110","X2.methylbutyrate",1087491,"concentrate","SBR1",110
"183","c111","X2.methylbutyrate",809714,"concentrate","SBR1",111
"184","c112","X2.methylbutyrate",689649,"concentrate","SBR1",112
"185","c113","X2.methylbutyrate",685896,"concentrate","SBR1",113
"186","c114","X2.methylbutyrate",899509,"concentrate","SBR1",114
"187","c115","X2.methylbutyrate",1147990,"concentrate","SBR1",115
"188","c116","X2.methylbutyrate",1053053,"concentrate","SBR1",116
"189","c117","X2.methylbutyrate",702702,"concentrate","SBR1",117
"190","c118","X2.methylbutyrate",839882,"concentrate","SBR1",118
"191","c119","X2.methylbutyrate",159364,"concentrate","SBR1",119
"192","c120","X2.methylbutyrate",387418,"concentrate","SBR1",120
"193","c121","X2.methylbutyrate",396402,"concentrate","SBR1",121
"194","c122","X2.methylbutyrate",262336,"concentrate","SBR1",122
"195","c123","X2.methylbutyrate",864542,"concentrate","SBR1",123
"196","c109","X2.hydroxybutyrate",1940,"concentrate","SBR1",109
"197","c110","X2.hydroxybutyrate",7858,"concentrate","SBR1",110
"198","c111","X2.hydroxybutyrate",4293,"concentrate","SBR1",111
"199","c112","X2.hydroxybutyrate",4660,"concentrate","SBR1",112
"200","c113","X2.hydroxybutyrate",4495,"concentrate","SBR1",113
"201","c114","X2.hydroxybutyrate",5484,"concentrate","SBR1",114
"202","c115","X2.hydroxybutyrate",6333,"concentrate","SBR1",115
"203","c116","X2.hydroxybutyrate",4005,"concentrate","SBR1",116
"204","c117","X2.hydroxybutyrate",2967,"concentrate","SBR1",117
"205","c118","X2.hydroxybutyrate",4569,"concentrate","SBR1",118
"206","c119","X2.hydroxybutyrate",306,"concentrate","SBR1",119
"207","c120","X2.hydroxybutyrate",793,"concentrate","SBR1",120
"208","c121","X2.hydroxybutyrate",1592,"concentrate","SBR1",121
"209","c122","X2.hydroxybutyrate",1558,"concentrate","SBR1",122
"210","c123","X2.hydroxybutyrate",3377,"concentrate","SBR1",123
"211","c109","isovalerate",473332,"concentrate","SBR1",109
"212","c110","isovalerate",1097752,"concentrate","SBR1",110
"213","c111","isovalerate",906019,"concentrate","SBR1",111
"214","c112","isovalerate",716847,"concentrate","SBR1",112
"215","c113","isovalerate",769088,"concentrate","SBR1",113
"216","c114","isovalerate",914345,"concentrate","SBR1",114
"217","c115","isovalerate",1105602,"concentrate","SBR1",115
"218","c116","isovalerate",1060315,"concentrate","SBR1",116
"219","c117","isovalerate",659685,"concentrate","SBR1",117
"220","c118","isovalerate",1106646,"concentrate","SBR1",118
"221","c119","isovalerate",257820,"concentrate","SBR1",119
"222","c120","isovalerate",565231,"concentrate","SBR1",120
"223","c121","isovalerate",575275,"concentrate","SBR1",121
"224","c122","isovalerate",442614,"concentrate","SBR1",122
"225","c123","isovalerate",903479,"concentrate","SBR1",123
"226","c109","crotonate",1901,"concentrate","SBR1",109
"227","c110","crotonate",1197,"concentrate","SBR1",110
"228","c111","crotonate",2850,"concentrate","SBR1",111
"229","c112","crotonate",1473,"concentrate","SBR1",112
"230","c113","crotonate",494,"concentrate","SBR1",113
"231","c114","crotonate",2374,"concentrate","SBR1",114
"232","c115","crotonate",3104,"concentrate","SBR1",115
"233","c116","crotonate",3927,"concentrate","SBR1",116
"234","c117","crotonate",2294,"concentrate","SBR1",117
"235","c118","crotonate",3409,"concentrate","SBR1",118
"236","c119","crotonate",1045,"concentrate","SBR1",119
"237","c120","crotonate",1879,"concentrate","SBR1",120
"238","c121","crotonate",2032,"concentrate","SBR1",121
"239","c122","crotonate",2442,"concentrate","SBR1",122
"240","c123","crotonate",1999,"concentrate","SBR1",123
"241","c109","valerate",9126,"concentrate","SBR1",109
"242","c110","valerate",15206,"concentrate","SBR1",110
"243","c111","valerate",11881,"concentrate","SBR1",111
"244","c112","valerate",9825,"concentrate","SBR1",112
"245","c113","valerate",8434,"concentrate","SBR1",113
"246","c114","valerate",10495,"concentrate","SBR1",114
"247","c115","valerate",9760,"concentrate","SBR1",115
"248","c116","valerate",6609,"concentrate","SBR1",116
"249","c117","valerate",11451,"concentrate","SBR1",117
"250","c118","valerate",9826,"concentrate","SBR1",118
"251","c119","valerate",9295,"concentrate","SBR1",119
"252","c120","valerate",8726,"concentrate","SBR1",120
"253","c121","valerate",14661,"concentrate","SBR1",121
"254","c122","valerate",15233,"concentrate","SBR1",122
"255","c123","valerate",14949,"concentrate","SBR1",123
"256","c109","X4.methylvalerate",1446,"concentrate","SBR1",109
"257","c110","X4.methylvalerate",1544,"concentrate","SBR1",110
"258","c111","X4.methylvalerate",2990,"concentrate","SBR1",111
"259","c112","X4.methylvalerate",640,"concentrate","SBR1",112
"260","c113","X4.methylvalerate",1160,"concentrate","SBR1",113
"261","c114","X4.methylvalerate",1169,"concentrate","SBR1",114
"262","c115","X4.methylvalerate",2419,"concentrate","SBR1",115
"263","c116","X4.methylvalerate",1354,"concentrate","SBR1",116
"264","c117","X4.methylvalerate",1096,"concentrate","SBR1",117
"265","c118","X4.methylvalerate",2498,"concentrate","SBR1",118
"266","c119","X4.methylvalerate",1314,"concentrate","SBR1",119
"267","c120","X4.methylvalerate",2033,"concentrate","SBR1",120
"268","c121","X4.methylvalerate",1022,"concentrate","SBR1",121
"269","c122","X4.methylvalerate",2141,"concentrate","SBR1",122
"270","c123","X4.methylvalerate",1876,"concentrate","SBR1",123
"271","c109","hexanoate",30142,"concentrate","SBR1",109
"272","c110","hexanoate",31795,"concentrate","SBR1",110
"273","c111","hexanoate",27134,"concentrate","SBR1",111
"274","c112","hexanoate",29553,"concentrate","SBR1",112
"275","c113","hexanoate",31086,"concentrate","SBR1",113
"276","c114","hexanoate",40961,"concentrate","SBR1",114
"277","c115","hexanoate",51050,"concentrate","SBR1",115
"278","c116","hexanoate",36435,"concentrate","SBR1",116
"279","c117","hexanoate",37753,"concentrate","SBR1",117
"280","c118","hexanoate",30172,"concentrate","SBR1",118
"281","c119","hexanoate",36939,"concentrate","SBR1",119
"282","c120","hexanoate",25749,"concentrate","SBR1",120
"283","c121","hexanoate",37038,"concentrate","SBR1",121
"284","c122","hexanoate",55852,"concentrate","SBR1",122
"285","c123","hexanoate",31989,"concentrate","SBR1",123
"286","c109","phenol",2038,"concentrate","SBR1",109
"287","c110","phenol",2061,"concentrate","SBR1",110
"288","c111","phenol",2454,"concentrate","SBR1",111
"289","c112","phenol",1374,"concentrate","SBR1",112
"290","c113","phenol",1881,"concentrate","SBR1",113
"291","c114","phenol",3522,"concentrate","SBR1",114
"292","c115","phenol",2835,"concentrate","SBR1",115
"293","c116","phenol",764,"concentrate","SBR1",116
"294","c117","phenol",1548,"concentrate","SBR1",117
"295","c118","phenol",2918,"concentrate","SBR1",118
"296","c119","phenol",1616,"concentrate","SBR1",119
"297","c120","phenol",464,"concentrate","SBR1",120
"298","c121","phenol",2231,"concentrate","SBR1",121
"299","c122","phenol",1351,"concentrate","SBR1",122
"300","c123","phenol",3007,"concentrate","SBR1",123
"301","c109","X2.hydroxyhexanoate",474359,"concentrate","SBR1",109
"302","c110","X2.hydroxyhexanoate",168851,"concentrate","SBR1",110
"303","c111","X2.hydroxyhexanoate",252177,"concentrate","SBR1",111
"304","c112","X2.hydroxyhexanoate",147209,"concentrate","SBR1",112
"305","c113","X2.hydroxyhexanoate",168245,"concentrate","SBR1",113
"306","c114","X2.hydroxyhexanoate",36134,"concentrate","SBR1",114
"307","c115","X2.hydroxyhexanoate",141514,"concentrate","SBR1",115
"308","c116","X2.hydroxyhexanoate",105245,"concentrate","SBR1",116
"309","c117","X2.hydroxyhexanoate",318017,"concentrate","SBR1",117
"310","c118","X2.hydroxyhexanoate",132679,"concentrate","SBR1",118
"311","c119","X2.hydroxyhexanoate",295170,"concentrate","SBR1",119
"312","c120","X2.hydroxyhexanoate",197136,"concentrate","SBR1",120
"313","c121","X2.hydroxyhexanoate",39630,"concentrate","SBR1",121
"314","c122","X2.hydroxyhexanoate",244461,"concentrate","SBR1",122
"315","c123","X2.hydroxyhexanoate",19455,"concentrate","SBR1",123
"316","c109","p.cresol",2325,"concentrate","SBR1",109
"317","c110","p.cresol",5339,"concentrate","SBR1",110
"318","c111","p.cresol",8268,"concentrate","SBR1",111
"319","c112","p.cresol",5544,"concentrate","SBR1",112
"320","c113","p.cresol",4306,"concentrate","SBR1",113
"321","c114","p.cresol",7162,"concentrate","SBR1",114
"322","c115","p.cresol",8345,"concentrate","SBR1",115
"323","c116","p.cresol",7032,"concentrate","SBR1",116
"324","c117","p.cresol",3284,"concentrate","SBR1",117
"325","c118","p.cresol",3739,"concentrate","SBR1",118
"326","c119","p.cresol",2062,"concentrate","SBR1",119
"327","c120","p.cresol",1251,"concentrate","SBR1",120
"328","c121","p.cresol",2305,"concentrate","SBR1",121
"329","c122","p.cresol",7199,"concentrate","SBR1",122
"330","c123","p.cresol",3038,"concentrate","SBR1",123
"331","c109","benzoate",59368,"concentrate","SBR1",109
"332","c110","benzoate",57598,"concentrate","SBR1",110
"333","c111","benzoate",37413,"concentrate","SBR1",111
"334","c112","benzoate",44190,"concentrate","SBR1",112
"335","c113","benzoate",40258,"concentrate","SBR1",113
"336","c114","benzoate",56562,"concentrate","SBR1",114
"337","c115","benzoate",107704,"concentrate","SBR1",115
"338","c116","benzoate",51979,"concentrate","SBR1",116
"339","c117","benzoate",40610,"concentrate","SBR1",117
"340","c118","benzoate",63084,"concentrate","SBR1",118
"341","c119","benzoate",51192,"concentrate","SBR1",119
"342","c120","benzoate",59272,"concentrate","SBR1",120
"343","c121","benzoate",77176,"concentrate","SBR1",121
"344","c122","benzoate",61711,"concentrate","SBR1",122
"345","c123","benzoate",50971,"concentrate","SBR1",123
"346","c109","phenylacetate",16918,"concentrate","SBR1",109
"347","c110","phenylacetate",48787,"concentrate","SBR1",110
"348","c111","phenylacetate",42061,"concentrate","SBR1",111
"349","c112","phenylacetate",41566,"concentrate","SBR1",112
"350","c113","phenylacetate",44008,"concentrate","SBR1",113
"351","c114","phenylacetate",43198,"concentrate","SBR1",114
"352","c115","phenylacetate",72405,"concentrate","SBR1",115
"353","c116","phenylacetate",64095,"concentrate","SBR1",116
"354","c117","phenylacetate",49768,"concentrate","SBR1",117
"355","c118","phenylacetate",44845,"concentrate","SBR1",118
"356","c119","phenylacetate",9146,"concentrate","SBR1",119
"357","c120","phenylacetate",29768,"concentrate","SBR1",120
"358","c121","phenylacetate",26908,"concentrate","SBR1",121
"359","c122","phenylacetate",14217,"concentrate","SBR1",122
"360","c123","phenylacetate",45055,"concentrate","SBR1",123
"361","c109","hydrocinnamate",1,"concentrate","SBR1",109
"362","c110","hydrocinnamate",1,"concentrate","SBR1",110
"363","c111","hydrocinnamate",1,"concentrate","SBR1",111
"364","c112","hydrocinnamate",1,"concentrate","SBR1",112
"365","c113","hydrocinnamate",355,"concentrate","SBR1",113
"366","c114","hydrocinnamate",1,"concentrate","SBR1",114
"367","c115","hydrocinnamate",244,"concentrate","SBR1",115
"368","c116","hydrocinnamate",301,"concentrate","SBR1",116
"369","c117","hydrocinnamate",1,"concentrate","SBR1",117
"370","c118","hydrocinnamate",194,"concentrate","SBR1",118
"371","c119","hydrocinnamate",476,"concentrate","SBR1",119
"372","c120","hydrocinnamate",1,"concentrate","SBR1",120
"373","c121","hydrocinnamate",1,"concentrate","SBR1",121
"374","c122","hydrocinnamate",1,"concentrate","SBR1",122
"375","c123","hydrocinnamate",1,"concentrate","SBR1",123
"376","c109","X2.aminobutyrate",19008,"concentrate","SBR1",109
"377","c110","X2.aminobutyrate",44531,"concentrate","SBR1",110
"378","c111","X2.aminobutyrate",28169,"concentrate","SBR1",111
"379","c112","X2.aminobutyrate",34528,"concentrate","SBR1",112
"380","c113","X2.aminobutyrate",33005,"concentrate","SBR1",113
"381","c114","X2.aminobutyrate",39089,"concentrate","SBR1",114
"382","c115","X2.aminobutyrate",71291,"concentrate","SBR1",115
"383","c116","X2.aminobutyrate",50266,"concentrate","SBR1",116
"384","c117","X2.aminobutyrate",51054,"concentrate","SBR1",117
"385","c118","X2.aminobutyrate",55384,"concentrate","SBR1",118
"386","c119","X2.aminobutyrate",24106,"concentrate","SBR1",119
"387","c120","X2.aminobutyrate",24912,"concentrate","SBR1",120
"388","c121","X2.aminobutyrate",37430,"concentrate","SBR1",121
"389","c122","X2.aminobutyrate",25782,"concentrate","SBR1",122
"390","c123","X2.aminobutyrate",47092,"concentrate","SBR1",123
"391","109","valine",57506,"dilute","SBR1",109
"392","110","valine",141630,"dilute","SBR1",110
"393","111","valine",70084,"dilute","SBR1",111
"394","112","valine",114089,"dilute","SBR1",112
"395","113","valine",114769,"dilute","SBR1",113
"396","114","valine",409102,"dilute","SBR1",114
"397","115","valine",281716,"dilute","SBR1",115
"398","116","valine",142056,"dilute","SBR1",116
"399","117","valine",122489,"dilute","SBR1",117
"400","118","valine",167545,"dilute","SBR1",118
"401","119","valine",25295,"dilute","SBR1",119
"402","120","valine",61141,"dilute","SBR1",120
"403","121","valine",208823,"dilute","SBR1",121
"404","122","valine",32312,"dilute","SBR1",122
"405","123","valine",270461,"dilute","SBR1",123
"406","109","leucine",52658,"dilute","SBR1",109
"407","110","leucine",83297,"dilute","SBR1",110
"408","111","leucine",41187,"dilute","SBR1",111
"409","112","leucine",59509,"dilute","SBR1",112
"410","113","leucine",62701,"dilute","SBR1",113
"411","114","leucine",291106,"dilute","SBR1",114
"412","115","leucine",98019,"dilute","SBR1",115
"413","116","leucine",64837,"dilute","SBR1",116
"414","117","leucine",67950,"dilute","SBR1",117
"415","118","leucine",95746,"dilute","SBR1",118
"416","119","leucine",17419,"dilute","SBR1",119
"417","120","leucine",35103,"dilute","SBR1",120
"418","121","leucine",103440,"dilute","SBR1",121
"419","122","leucine",21748,"dilute","SBR1",122
"420","123","leucine",144094,"dilute","SBR1",123
"421","109","isoleucine",36311,"dilute","SBR1",109
"422","110","isoleucine",66146,"dilute","SBR1",110
"423","111","isoleucine",38330,"dilute","SBR1",111
"424","112","isoleucine",58826,"dilute","SBR1",112
"425","113","isoleucine",54193,"dilute","SBR1",113
"426","114","isoleucine",227416,"dilute","SBR1",114
"427","115","isoleucine",105722,"dilute","SBR1",115
"428","116","isoleucine",52900,"dilute","SBR1",116
"429","117","isoleucine",59309,"dilute","SBR1",117
"430","118","isoleucine",86598,"dilute","SBR1",118
"431","119","isoleucine",13583,"dilute","SBR1",119
"432","120","isoleucine",23109,"dilute","SBR1",120
"433","121","isoleucine",77276,"dilute","SBR1",121
"434","122","isoleucine",17279,"dilute","SBR1",122
"435","123","isoleucine",120244,"dilute","SBR1",123
"436","109","proline",152500,"dilute","SBR1",109
"437","110","proline",319821,"dilute","SBR1",110
"438","111","proline",193979,"dilute","SBR1",111
"439","112","proline",267794,"dilute","SBR1",112
"440","113","proline",237814,"dilute","SBR1",113
"441","114","proline",324471,"dilute","SBR1",114
"442","115","proline",605576,"dilute","SBR1",115
"443","116","proline",322536,"dilute","SBR1",116
"444","117","proline",266099,"dilute","SBR1",117
"445","118","proline",824351,"dilute","SBR1",118
"446","119","proline",112721,"dilute","SBR1",119
"447","120","proline",577726,"dilute","SBR1",120
"448","121","proline",384221,"dilute","SBR1",121
"449","122","proline",186922,"dilute","SBR1",122
"450","123","proline",547912,"dilute","SBR1",123
"451","c109","Succinate.ISTD",149311,"concentrate","SBR1",109
"452","c110","Succinate.ISTD",157285,"concentrate","SBR1",110
"453","c111","Succinate.ISTD",131982,"concentrate","SBR1",111
"454","c112","Succinate.ISTD",152587,"concentrate","SBR1",112
"455","c113","Succinate.ISTD",136162,"concentrate","SBR1",113
"456","c114","Succinate.ISTD",191670,"concentrate","SBR1",114
"457","c115","Succinate.ISTD",198490,"concentrate","SBR1",115
"458","c116","Succinate.ISTD",180623,"concentrate","SBR1",116
"459","c117","Succinate.ISTD",174200,"concentrate","SBR1",117
"460","c118","Succinate.ISTD",173674,"concentrate","SBR1",118
"461","c119","Succinate.ISTD",125635,"concentrate","SBR1",119
"462","c120","Succinate.ISTD",160401,"concentrate","SBR1",120
"463","c121","Succinate.ISTD",170530,"concentrate","SBR1",121
"464","c122","Succinate.ISTD",180120,"concentrate","SBR1",122
"465","c123","Succinate.ISTD",224579,"concentrate","SBR1",123
"466","c109","succinate",472529,"concentrate","SBR1",109
"467","c110","succinate",182627,"concentrate","SBR1",110
"468","c111","succinate",260557,"concentrate","SBR1",111
"469","c112","succinate",149702,"concentrate","SBR1",112
"470","c113","succinate",181300,"concentrate","SBR1",113
"471","c114","succinate",27524,"concentrate","SBR1",114
"472","c115","succinate",157779,"concentrate","SBR1",115
"473","c116","succinate",88393,"concentrate","SBR1",116
"474","c117","succinate",311406,"concentrate","SBR1",117
"475","c118","succinate",219999,"concentrate","SBR1",118
"476","c119","succinate",292668,"concentrate","SBR1",119
"477","c120","succinate",256048,"concentrate","SBR1",120
"478","c121","succinate",45400,"concentrate","SBR1",121
"479","c122","succinate",357826,"concentrate","SBR1",122
"480","c123","succinate",21147,"concentrate","SBR1",123
"481","109","alanine",31105,"dilute","SBR1",109
"482","110","alanine",59028,"dilute","SBR1",110
"483","111","alanine",28726,"dilute","SBR1",111
